S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Aerospace Engineering,Learn Ansys in 10 Days,98hrs 5min,12th,English/Hindi,Module 1: Introduction to CAE and FEA,Introduction to CAE and FEA | Day 01 | Learn Ansys with Ranjith,https://www.youtube.com/watch?v=jdDKjKlIOBQ
2,Aerospace Engineering,Learn Ansys in 10 Days,,12th,English/Hindi,Module 1: Introduction to CAE and FEA,Introduction to Ansys Workbench | Day 02 | Learn Ansys with Ranjith,https://www.youtube.com/watch?v=EJxJlfAAW2g
3,Aerospace Engineering,Learn Ansys in 10 Days,,12th,English/Hindi,Module 1: Introduction to CAE and FEA,Introduction to 1D Analysis in Ansys | Day 03 | Learn Ansys with Ranjith,https://www.youtube.com/watch?v=Lu_bl4oLqHc
4,Aerospace Engineering,Learn Ansys in 10 Days,,12th,English/Hindi,Module 1: Introduction to CAE and FEA,BAJA Roll CAGE Analysis | Day 04 | Learn Ansys with Ranjith,https://www.youtube.com/watch?v=lPNPreJX4uM
5,Aerospace Engineering,Learn Ansys in 10 Days,,12th,English/Hindi,Module 2: Introduction to 2D Analysis in Ansys,Introduction to 2D Analysis in Ansys | Day 05 | Learn Ansys with Ranjith,https://www.youtube.com/watch?v=jhWAy07dB-c
6,Aerospace Engineering,Learn Ansys in 10 Days,,12th,English/Hindi,Module 2: Introduction to 2D Analysis in Ansys,3D Meshing in Ansys  | Day 06 | Learn Ansys with Ranjith,https://www.youtube.com/watch?v=LgzQ0u_CLzk
7,Aerospace Engineering,Learn Ansys in 10 Days,,12th,English/Hindi,Module 2: Introduction to 2D Analysis in Ansys,Static Structural Analysis in Ansys | Day 07 | Learn Ansys with Ranjith,https://www.youtube.com/watch?v=cKwbls00JIg
8,Aerospace Engineering,Learn Ansys in 10 Days,,12th,English/Hindi,Module 3: Transient Structural Analysis,Transient Structural Analysis | Day 08 | Learn Ansys with Ranjith,https://www.youtube.com/watch?v=mRcFvmKFqLI
9,Aerospace Engineering,Learn Ansys in 10 Days,,12th,English/Hindi,Module 3: Transient Structural Analysis,Buckling Analysis in Ansys | Day 09 | Learn Ansys with Ranjith,https://www.youtube.com/watch?v=ni4btLHO3mw
10,Aerospace Engineering,Learn Ansys in 10 Days,,12th,English/Hindi,Module 3: Transient Structural Analysis,Thermal Analysis in Ansys | Day 10 | Learn Ansys with Ranjith,https://www.youtube.com/watch?v=KJ_YR3VZXyE
