S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,54hrs 3min,12th,English/Hindi,Module 1: Introduction to Technology Entrepreneurship,1. Technology and Entrepreneurship Overview,https://www.youtube.com/watch?v=MvPTVgGUsyc
2,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,12th,English/Hindi,Module 1: Introduction to Technology Entrepreneurship,2. Silicon Valley,https://www.youtube.com/watch?v=dcNLIeBiUK0
3,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,12th,English/Hindi,Module 2: Silicon Valley and Key Frameworks,3. Nine Key Frameworks for Entrepreneurship,https://www.youtube.com/watch?v=Rf3xSqgpFHE
4,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,12th,English/Hindi,Module 2: Silicon Valley and Key Frameworks,"4. Business Model Testing, OAP Projects",https://www.youtube.com/watch?v=iJtNvwpKyo4
5,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,12th,English/Hindi,Module 3: Business Model Testing and Team Formation,5. The Founding Team,https://www.youtube.com/watch?v=c52Y2ObjFms
6,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,12th,English/Hindi,Module 3: Business Model Testing and Team Formation,7. Brainstorming,https://www.youtube.com/watch?v=0B69rnynnCA
7,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,12th,English/Hindi,Module 4: Brainstorming and Technology Life Cycles,8. Technology Life Cycles and Diffusion,https://www.youtube.com/watch?v=NKdbpWN3obw
8,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,12th,English/Hindi,Module 4: Brainstorming and Technology Life Cycles,9. Case Discussion and Business Models,https://www.youtube.com/watch?v=h9EgMrDRZDg
9,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,12th,English/Hindi,Module 5: Customer Development and Lean Startups,10. Customer Development and Lean Startups,https://www.youtube.com/watch?v=sBhtb6Hb_O4
10,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,12th,English/Hindi,Module 5: Customer Development and Lean Startups,11. Customer Development and the Business Model Canvas,https://www.youtube.com/watch?v=VGqusTa0wCw
11,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,12th,English/Hindi,Module 5: Customer Development and Lean Startups,12. Why is Customer Development So Tough?,https://www.youtube.com/watch?v=R_cwS4_x1k0
12,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,12th,English/Hindi,Module 6: Customer Development Challenges and Case Studies,13. FlightCaster,https://www.youtube.com/watch?v=2YcXaGfp8vk
13,Entrepreneurship,Lecture Collection | Technology Entrepreneurship,,12th,English/Hindi,Module 6: Customer Development Challenges and Case Studies,14. Startup Genome,https://www.youtube.com/watch?v=SNOzBZY41jU
