S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),53hrs 20min,12th,English/Hindi,Module 1: Introduction & Vision,INTRODUCTION | The Lean Startup Audiobook,https://www.youtube.com/watch?v=QFoDiAbmYXI
2,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,Module 1: Introduction & Vision,PART 1 (VISION) - CHAPTER 1: START | The Lean Startup Audiobook,https://www.youtube.com/watch?v=jFiuzgMYAg8
3,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,Module 1: Introduction & Vision,PART 1 (VISION) - CHAPTER 2: DEFINE | The Lean Startup Audiobook,https://www.youtube.com/watch?v=Z2g9SIbflTA
4,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,Module 1: Introduction & Vision,PART 1 (VISION) - CHAPTER 3: LEARN | The Lean Startup Audiobook,https://www.youtube.com/watch?v=nGG7sxruUMY
5,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,Module 2: Defining & Learning,PART 1 (VISION) - CHAPTER 4: EXPERIMENT | The Lean Startup Audiobook,https://www.youtube.com/watch?v=Jlm1TaPmrxg
6,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,Module 2: Defining & Learning,PART 2 (STEER)  | The Lean Startup Audiobook,https://www.youtube.com/watch?v=YUfS42wZP0M
7,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,Module 2: Defining & Learning,PART 2 (STEER) - CHAPTER 5: LEAP | The Lean Startup Audiobook,https://www.youtube.com/watch?v=-sIi6Ft9VxU
8,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,Module 3: Experimenting & The Leap,PART 2 (STEER) - CHAPTER 6: TEST | The Lean Startup Audiobook,https://www.youtube.com/watch?v=ABLP8hrNiJo
9,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,Module 3: Experimenting & The Leap,PART 2 (STEER) - CHAPTER 7: MEASURE | The Lean Startup Audiobook,https://www.youtube.com/watch?v=OYtXIGlm4RA
10,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,Module 4: Testing & Measuring,PART 2 (STEER) - CHAPTER 8: PIVOT (OR PERSEVERE) | The Lean Startup Audiobook,https://www.youtube.com/watch?v=twoKiiu_G9M
11,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,Module 4: Testing & Measuring,PART 3 (ACCELERATE)  | The Lean Startup Audiobook,https://www.youtube.com/watch?v=-rxFvjwbeXA
12,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,Module 5: Pivoting & Batching,PART 3 (ACCELERATE) - CHAPTER 9: BATCH | The Lean Startup Audiobook,https://www.youtube.com/watch?v=0MJpGUtz0DU
13,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,Module 5: Pivoting & Batching,PART 3 (ACCELERATE) - CHAPTER 10: GROW | The Lean Startup Audiobook,https://www.youtube.com/watch?v=dcXSVB-upO0
14,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,Module 6: Growth & Adapting,PART 3 (ACCELERATE) - CHAPTER 11: ADAPT | The Lean Startup Audiobook,https://www.youtube.com/watch?v=FgjrLBSJLoQ
15,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,Module 6: Growth & Adapting,PART 3 (ACCELERATE) - CHAPTER 12: INNOVATE | The Lean Startup Audiobook,https://www.youtube.com/watch?v=sPT9RUe928A
16,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,Module 7: Innovation & Waste Not,PART 3 (ACCELERATE) - CHAPTER 13: EPILOGUE: WASTE NOT | The Lean Startup Audiobook,https://www.youtube.com/watch?v=lWdqfJmNzRU
17,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,Module 7: Innovation & Waste Not,PART 3 (ACCELERATE) - CHAPTER 14: JOIN THE MOVEMENT | The Lean Startup Audiobook,https://www.youtube.com/watch?v=14m4Vp2AivE
18,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,"Module 8: Movement, Endnotes & Disclosures",ENDNOTES | The Lean Startup Audiobook,https://www.youtube.com/watch?v=RWFdv-OwCCY
19,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,"Module 8: Movement, Endnotes & Disclosures",DISCLOSERS | The Lean Startup Audiobook,https://www.youtube.com/watch?v=aHz-fWl8pKg
20,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,"Module 8: Movement, Endnotes & Disclosures",ACKNOWLEGEMENTS | The Lean Startup Audiobook,https://www.youtube.com/watch?v=KsOgxAVA4BA
21,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,12th,English/Hindi,"Module 8: Movement, Endnotes & Disclosures",ABOUT THE AUTHOR | The Lean Startup Audiobook,https://www.youtube.com/watch?v=0T8xIXeT5zw
