S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
25,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 6: Curves & Plane Table Surveying,Tacheometry Surveying | Lec 24 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=7U8Lv3_ashI
26,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 7: Errors & Aerial Surveying,Distance Measurement with Tachometer | Lec 25 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=RjJJt2AT81E
27,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 7: Errors & Aerial Surveying,Curves  | Lec 26 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=V0R63-kDHEQ
28,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 7: Errors & Aerial Surveying,Plane Table Surveying | Lec 26 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=G0BnhxUB4jI
29,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 8: Photogrammetry,Methods of Plane Table Surveying  | Lec 27 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=tXHgS280xzw
30,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 8: Photogrammetry,Curves  | Lec 28 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=bDWvvTLo7l4
31,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 8: Photogrammetry,Errors and Accuracy | Lec 29 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=797YzQajZYE
32,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 8: Photogrammetry,Laws of Weight | Lec 30 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=dMW0C2z7lq0
33,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 8: Photogrammetry,Aerial Surveying | Lec 31 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=gg1WAunCWuk
34,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 8: Photogrammetry,Photogrammetry Surveying | Lec 32 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=lfNtlINuSU4
35,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 8: Photogrammetry,Scale of Photograph  | Lec 33 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=mCTpyBOGLfE
36,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 8: Photogrammetry,Scale of Photograph-Numericals | Lec 34 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=Pi4GibghK_Q
37,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 9: Remote Sensing & GIS,Computation of length of line  | Lec 35 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=D1ebDH7TGEo
38,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 9: Remote Sensing & GIS,Relief Displacement | Lec 36 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=2LBA5N9ULPs
39,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 9: Remote Sensing & GIS,Flight Planning | Lec 37 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=ptVPQIk6uAE
40,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 9: Remote Sensing & GIS,Number of Photographs Numericals  | Lec 37 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=73hAeCRK0qc
41,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 9: Remote Sensing & GIS,Remote sensing | Lec 39 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=wAFslIDzygo
42,Civil Engineering,Surveying | GATE Civil Exam | Kshitij Sir,,12th,English/Hindi,Module 9: Remote Sensing & GIS,GIS and GPSa  | Lec 40 | Surveying | GATE Civil Exam | Kshitij Sir,https://www.youtube.com/watch?v=KTXDlBAFVYU
