S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
19,Graphic Design,Drawing Basics | Proko,,12th,English/Hindi,Module 5: Mastering Shapes,3 Basic Shapes and Their IMPACT on Your Art,https://www.youtube.com/watch?v=h9qGMVRdn4Q
20,Graphic Design,Drawing Basics | Proko,,12th,English/Hindi,Module 5: Mastering Shapes,Draw ANY Pose From ANY Angle,https://www.youtube.com/watch?v=QNYZ_NsTc24
21,Graphic Design,Drawing Basics | Proko,,12th,English/Hindi,Module 6: Gesture Drawing and 3D Forms,How to Draw Arms and Legs From Any Angle,https://www.youtube.com/watch?v=FyZYTVn0zYU
22,Graphic Design,Drawing Basics | Proko,,12th,English/Hindi,Module 6: Gesture Drawing and 3D Forms,The Easy Way to Draw Hard Poses,https://www.youtube.com/watch?v=c_0xzTOAjs0
23,Graphic Design,Drawing Basics | Proko,,12th,English/Hindi,Module 6: Gesture Drawing and 3D Forms,Thinking in 3D,https://www.youtube.com/watch?v=oUIkswy_sXo
24,Graphic Design,Drawing Basics | Proko,,12th,English/Hindi,Module 6: Gesture Drawing and 3D Forms,Perspective for Beginners,https://www.youtube.com/watch?v=BYlW8XC0MlI
25,Graphic Design,Drawing Basics | Proko,,12th,English/Hindi,Module 7: Anatomy and Poses,Two-Point Perspective Drawing Made Simple,https://www.youtube.com/watch?v=9-Y4K4hqZwo
26,Graphic Design,Drawing Basics | Proko,,12th,English/Hindi,Module 7: Anatomy and Poses,How to Draw 3D Heads with Perspective,https://www.youtube.com/watch?v=HleWk-vemLs
27,Graphic Design,Drawing Basics | Proko,,12th,English/Hindi,Module 7: Anatomy and Poses,X-ray Perspective Drawing Techniques,https://www.youtube.com/watch?v=QonjtiJdk7w
28,Graphic Design,Drawing Basics | Proko,,12th,English/Hindi,Module 7: Anatomy and Poses,The Truth About Perspective,https://www.youtube.com/watch?v=50XAa3AOihc
29,Graphic Design,Drawing Basics | Proko,,12th,English/Hindi,Module 8: Perspective Fundamentals,How to Draw Cylinders and Ellipses,https://www.youtube.com/watch?v=PdtDtGBu-Dc
30,Graphic Design,Drawing Basics | Proko,,12th,English/Hindi,Module 8: Perspective Fundamentals,An Easier Way to Draw Perspective,https://www.youtube.com/watch?v=ZMuoU_NWmlE
31,Graphic Design,Drawing Basics | Proko,,12th,English/Hindi,Module 8: Perspective Fundamentals,4 Weeks to Better Perspective Drawing,https://www.youtube.com/watch?v=HxHkZZims3c
32,Graphic Design,Drawing Basics | Proko,,12th,English/Hindi,Module 8: Perspective Fundamentals,6 Ways to Add Gesture to Perspective,https://www.youtube.com/watch?v=FdDGB3J85Kg
