S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
26,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 8: Periodic Function - Countability of Sets,Lecture 26 | Countability of Sets - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=IhZ54mDlufE
27,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 9: Countability of Sets,Lecture 27 | Countability of Sets - 2 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=33NfWH0iKN4
28,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 9: Countability of Sets,Lecture 28 | Countability of Sets - 3 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=f52Fyk9ovnw
29,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 9: Countability of Sets,Lecture 29 | Countability of Sets - 4 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=gk7q8r4zj48
30,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 10: Countability of Sets,Lecture 30 | Countability of Sets - 5 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=OBPC0gQIysg
31,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 10: Countability of Sets,Lecture 31 | Countability of Sets - 6 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=lIFIBtDrzEc
32,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 10: Countability of Sets,Lecture 32 | Countability of Sets - 7 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=EhHkVcj5Aak
33,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 11: Basics of Sequence - Limit point of a Sequence,Lecture 33 | Countability of Sets - 8 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=TkqdBAnPoTw
34,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 11: Basics of Sequence - Limit point of a Sequence,Lecture 34 | Basics of Sequence | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=tLlifxqC5_A
35,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 11: Basics of Sequence - Limit point of a Sequence,Lecture 35 | Limit point of a Sequence - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=d5xpGfgvZeE
36,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 12: Limit of a Sequence - Subsequence,Lecture 36 | Limit point of a Sequence - 2| Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=Gmha22ZESoE
37,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 12: Limit of a Sequence - Subsequence,Lecture 37 | Limit of a Sequence | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=nGPAyFNuXV4
38,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 12: Limit of a Sequence - Subsequence,Lecture 38 | Subsequence - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=0XlAPBFL70E
39,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 13: Convergence of monotone Subseq - Convergence test - Cauchy Seq,Lecture 39 | Subsequence - 2 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=Cuq1qP3kfsc
40,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 13: Convergence of monotone Subseq - Convergence test - Cauchy Seq,Lecture 40 | Convergence of monotone Subseq| Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=e6B9ZTqp7ow
41,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 13: Convergence of monotone Subseq - Convergence test - Cauchy Seq,Lecture 41 | Convergence test & Cauchy Seq | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=BZtOl1CskeY
42,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 14: Cauchy Sequence - Divergent and Oscillating Seq,Lecture 42 | Cauchy Sequence | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=nyisENwJ_-g
43,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 14: Cauchy Sequence - Divergent and Oscillating Seq,Lecture 44 | Divergent and Oscillating Seq | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=ZZO_qtDOWoY
44,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 14: Cauchy Sequence - Divergent and Oscillating Seq,Lecture 43 | Cauchy Sequence - 2 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=xW2AQBlar_c
45,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 15: Limit Sup and Limit inf,Lecture 45 | Limit Sup  and Limit inf - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=IklIkYvT9oA
46,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 15: Limit Sup and Limit inf,Lecture 46 | Limit Sup  and Limit inf - 2 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=55uBHNzIPVg
47,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 15: Limit Sup and Limit inf,Lecture 47 | Question Practice Session - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=st-AeIAQWxA
48,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 16: Question Practice Session,Lecture 48 | Question Practice Session - 2 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=iwxsDWlEsQk
49,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 16: Question Practice Session,Lecture 49 | Question Practice Session - 3 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=atQpzieeqeE
50,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 16: Question Practice Session,Lecture 50 | Question Practice Session - 4 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=mxFh9sM9h_I
51,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 17: Question Practice Session,Lecture 51 | Basics of Series | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=y-7iJHNke3w
52,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 17: Question Practice Session,Lecture 52 | Sum of Series - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=O_7fuWZOaAE
53,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 17: Question Practice Session,Lecture 53 | Sum of Series - 2 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=rabtgNzm3Aw
54,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 18: Basics of Series - Sum of Series,Lecture 54 | Sum of Series - 3 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=k83ZHpDZL-c
