Unnamed: 0,sector,name of course,module_name,Video Title,video_link_to_embed,BASIC_ADVANCED
33,Aerospace & Aviation,Aerodynamics_2,Module 04: Kinematics of Fluid Motion,Kinematics of fluid motion - Velocity with specified extension and vorticity (Contd.),https://www.youtube.com/watch?v=MIrUhH8HC20,ADVANCED
34,Aerospace & Aviation,Aerodynamics_2,Module 04: Kinematics of Fluid Motion,Kinematics of fluid motion - Vorticity Distribution,https://www.youtube.com/watch?v=qsMzzLU1oVo,ADVANCED
35,Aerospace & Aviation,Aerodynamics_2,Module 04: Kinematics of Fluid Motion,Kinematics of fluid motion - Velocity without expansion and vorticity,https://www.youtube.com/watch?v=wqdbpiYpsyE,ADVANCED
36,Aerospace & Aviation,Aerodynamics_2,Module 05: Irrotational Solenoidal Flow,Irrotational Solenoidal Flow in Multiply Connected region,https://www.youtube.com/watch?v=r3HxQmhakhY,ADVANCED
37,Aerospace & Aviation,Aerodynamics_2,Module 05: Irrotational Solenoidal Flow,Irrotational Solenoidal Flow in Multiply Connected region (Contd.),https://www.youtube.com/watch?v=xP7YQkwmqqA,ADVANCED
38,Aerospace & Aviation,Aerodynamics_2,Module 06: Equations of Fluid Motion - Navier-Stokes Equation,Equations of Fluid Motion - Navier - Stokes Equation,https://www.youtube.com/watch?v=E762yRmhvXs,ADVANCED
39,Aerospace & Aviation,Aerodynamics_2,Module 06: Equations of Fluid Motion - Navier-Stokes Equation,Equations of Fluid Motion - Navier - Stokes Equation (Contd.),https://www.youtube.com/watch?v=Y0Me_aX933M,ADVANCED
40,Aerospace & Aviation,Aerodynamics_2,Module 06: Equations of Fluid Motion - Navier-Stokes Equation,Equations of Fluid Motion - Navier - Stokes Equation (Contd. ),https://www.youtube.com/watch?v=NieEtUnGqzc,ADVANCED
41,Aerospace & Aviation,Aerodynamics_2,Module 07: Conservation of Energy,Conservation of Energy and Energy Equation,https://www.youtube.com/watch?v=WjyaVGfv2wE,ADVANCED
42,Aerospace & Aviation,Aerodynamics_2,Module 08: Equations of Motions,Equations of Motions,https://www.youtube.com/watch?v=BJSRIdZ7-L8,ADVANCED
43,Aerospace & Aviation,Aerodynamics_2,Module 08: Equations of Motions,Equations of Motion (Contd.),https://www.youtube.com/watch?v=ROJ9n195DsM,ADVANCED
44,Aerospace & Aviation,Aerodynamics_2,Module 08: Equations of Motions,Exact Solution for Simple Problems,https://www.youtube.com/watch?v=JczT33rgeKk,ADVANCED
45,Aerospace & Aviation,Aerodynamics_2,Module 08: Equations of Motions,Exact Solution for Simple Problems (Contd.),https://www.youtube.com/watch?v=03UFZc9Lu3Q,ADVANCED
46,Aerospace & Aviation,Aerodynamics_2,Module 08: Equations of Motions,Non-dimensional Form of the Equations and Possible Simplifications,https://www.youtube.com/watch?v=gzerJOZxtHU,ADVANCED
47,Aerospace & Aviation,Aerodynamics_2,Module 08: Equations of Motions,High Reynolds Number Approximation,https://www.youtube.com/watch?v=ggQlP_lNZl8,ADVANCED
48,Aerospace & Aviation,Aerodynamics_2,Module 08: Equations of Motions,Conditions fior Incompressibility,https://www.youtube.com/watch?v=kTYPtnk5lTg,ADVANCED
49,Aerospace & Aviation,Aerodynamics_2,Module 09: Potential Flow,Potential Flow,https://www.youtube.com/watch?v=LHsV1_bLl20,ADVANCED
50,Aerospace & Aviation,Aerodynamics_2,Module 09: Potential Flow,Potential Flow - Combination of Basic Solutions,https://www.youtube.com/watch?v=6GjWCnHP3lc,ADVANCED
51,Aerospace & Aviation,Aerodynamics_2,Module 09: Potential Flow,Potential Flow - Combination of Basic Solutions (Contd.),https://www.youtube.com/watch?v=xxvsyxi8lrU,ADVANCED
52,Aerospace & Aviation,Aerodynamics_2,Module 09: Potential Flow,Potential Flow - Combination of Basic Solutions (Contd. ),https://www.youtube.com/watch?v=JBeEjcLB9oY,ADVANCED
53,Aerospace & Aviation,Aerodynamics_2,Module 09: Potential Flow,Potential Flow - Combination of Basic Solutions (Contd. ) - Lifting Cylinder,https://www.youtube.com/watch?v=O4NVcxD7XjQ,ADVANCED
54,Aerospace & Aviation,Aerodynamics_2,Module 10: Transformation - Applications,Conformal Transformation,https://www.youtube.com/watch?v=dlK0E0OG39k,ADVANCED
55,Aerospace & Aviation,Aerodynamics_2,Module 10: Transformation - Applications,Conformal Transformation (Contd.),https://www.youtube.com/watch?v=RY5gOtmrs2E,ADVANCED
56,Aerospace & Aviation,Aerodynamics_2,Module 10: Transformation - Applications,Zhukovsky Transformation,https://www.youtube.com/watch?v=Su_oQqdFf-w,ADVANCED
57,Aerospace & Aviation,Aerodynamics_2,Module 10: Transformation - Applications,Zhukovsky Transformation (Contd.),https://www.youtube.com/watch?v=O30oedI-yX0,ADVANCED
58,Aerospace & Aviation,Aerodynamics_2,Module 10: Transformation - Applications,Zhukovsky Transformation - Applications,https://www.youtube.com/watch?v=393KXbXDHOE,ADVANCED
59,Aerospace & Aviation,Aerodynamics_2,Module 10: Transformation - Applications,Zhukovsky Transformation - Applications (Contd.),https://www.youtube.com/watch?v=CEjVO3Fyfmk,ADVANCED
60,Aerospace & Aviation,Aerodynamics_2,Module 10: Transformation - Applications,Zhukovsky Transformation - Applications (Contd. ),https://www.youtube.com/watch?v=SvixO_Sx5-Y,ADVANCED
61,Aerospace & Aviation,Aerodynamics_2,Module 10: Transformation - Applications,Transformation,https://www.youtube.com/watch?v=ibanTSOVKpI,ADVANCED
62,Aerospace & Aviation,Aerodynamics_2,Module 10: Transformation - Applications,Transformation (Contd.),https://www.youtube.com/watch?v=uUqLz67E4GE,ADVANCED
63,Aerospace & Aviation,Aerodynamics_2,Module 11: Boundary-Layer Theory,Boundary - Layer Theory,https://www.youtube.com/watch?v=J9MwVZOlKNM,ADVANCED
64,Aerospace & Aviation,Aerodynamics_2,Module 11: Boundary-Layer Theory,Boundary - Layer Theory (Contd.),https://www.youtube.com/watch?v=TrSrti5lhoo,ADVANCED
65,Aerospace & Aviation,Aerodynamics_2,Module 11: Boundary-Layer Theory,Boundary - Layer Theory (Contd. ),https://www.youtube.com/watch?v=sVaxm3-A-oo,ADVANCED
66,Aerospace & Aviation,Aerodynamics_2,Module 11: Boundary-Layer Theory,Boundary - Layer Theory ( Contd),https://www.youtube.com/watch?v=SRHe8NQltUE,ADVANCED
67,Aerospace & Aviation,Aerodynamics_2,Module 11: Boundary-Layer Theory,Boundary - Layer Theory (Contd. ),https://www.youtube.com/watch?v=3wU1p8CdwNQ,ADVANCED
120,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 1: Introduction,Mod-01 Lec-01 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=KdH2-rKEyNY,ADVANCED
121,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 1: Introduction,Mod-01 Lec-02 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=9dmu2sm0CJM,ADVANCED
122,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 1: Introduction,Mod-01 Lec-03 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=lDjXQGpLBs4,ADVANCED
123,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 1: Introduction,Mod-01 Lec-04 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=UVPlTLoInOk,ADVANCED
124,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 1: Introduction,Mod-01 Lec-05 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=ENJdd3hg5m4,ADVANCED
125,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 1: Introduction,Mod-01 Lec-06 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=newkbtn2TDY,ADVANCED
126,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 2: Helicopter Dynamics,Mod-01 Lec-07 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=bh0MRJyupb0,ADVANCED
127,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 2: Helicopter Dynamics,Mod-01 Lec-08 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=oZTKkSCigwk,ADVANCED
