Sector,Sub Sector,Project Name,View Profile,Total Project Cost
"Apparel, Made-Ups & Home Furnishing",Boutique,Boutique (Cutting & Tailoring),/srv/YouthMissionMobile/DPR/Boutique__5lak.pdf,500000
Construction,Building Materials,Ready mix Concrete,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ReadymixConcrete.pdf,2156000
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,Khadi Mask,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KhadiMask.pdf,1566000
Other Sectors,Plastic Moulding,Mosquito Repellent Moulds,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MosquitoRepellentMoulds.pdf,1752000
HealthCare,Ayurvedic Products,MANUFACTURE OF AYURVEDIC VATI GUTIKA,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC VATI GUTIKA.pdf,506000
Food Processing,Spices,Spice Grinding Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SpiceGrindingUnit.pdf,1555000
Food Processing,Nuts,Walnut Processing Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WalnutProcessing Unit.pdf,2403000
Food Processing,Snack Manufacturing,Cookies Project,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CookiesProject.pdf,1294000
Textile,Textile Manufacturing,Bedsheet Printing_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BedsheetPrintingDPR.pdf,1337000
Strategic Manufacturing,Mirror Manufacturing,LOOKING MIRROR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LOOKING MIRROR.pdf,1825000
Iron and Steel,Metal Fabrication,"Fabrication of Iron Gates,Stair Railing,Door & Window Frames",/srv/YouthMissionMobile/DPR/Welding__Shop.pdf,4386400
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,Jegging,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Jegging.pdf,661000
"Rubber, Chemical and Petrochemical",Chemicals,PRODUCTION OF GASKET SHELLAC COMPOUND,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PRODUCTION OF GASKET SHELLAC COMPOUND (GASKET CEMENT).pdf,167000
Life Sciences,Bandages,Bandage Making,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BandageMaking.pdf,2278000
Strategic Manufacturing,Kitchen Utensils,Brass Utensil Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BrassUtensilUnit.pdf,1178000
Textile,Textiles,Thread Manufacturing_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ThreadManufacturingDPR.pdf,2246000
Gem and Jewellery,Stone Cutting & Polishing,GEM CUTTING AND POLISHING,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON GEM CUTTING AND POLISHING.pdf,1620000
Textile,Coir Products,COIR PITH BRIQUETTE UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE FOR COIR PITH BRIQUETTE UNIT.docx,2500000
Electronics,Cooling Systems,Cooler Pump,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoolerPump.pdf,1617000
Power and Electrical,Lighting,ELECTRONIC FAN REGULATOR & LIGHT DIMMERS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELECTRONIC FAN REGULATOR & LIGHT DIMMERS.pdf,130000
Food Processing,Oil Processing,MUSTARD OIL AND OIL CAKE MANUAFCURING,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MUSTARD OIL AND OIL CAKE MANUAFCURING.pdf,1950000
Beauty & Wellness,Air Freshening,Air Freshner,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirFreshner.pdf,2156000
Food Processing,Dairy Products,Milk Processing Plant,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MilkProcessingPlant1000ltr.pdf,2172000
Construction,Construction Materials,PLASTER OF PARIS ( B type),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PLASTER OF PARIS ( B type).pdf,1350000
IT-ITeS,Education,Computer Training Institute,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ComputerTrainingInstitute.pdf,1772000
Electronics,Home Appliances,Electric Iron,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricIron.pdf,2944000
Automotive,Accessories,Windshield Wiper,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WindshieldWiper.pdf,1682000
Logistics,Packaging Materials,Coir Paper,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoirPaper.pdf,2500000
Agriculture,Manure,PROJECT PROFILE FOR COIR PITH MANURE UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE FOR COIR PITH MANURE UNIT.docx,1914000
"Sports, Physical Education, Fitness & Leisure",Sports Equipment,Hockey Sticks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HockeySticks.pdf,979000
Food Processing,Dairy,SOYA MILK,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT   PROFILE   ON   SOYA   MILK.pdf,757000
Furniture & Fittings,Furniture,Wood Crafting Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodCraftingUnitDPR.pdf,1064000
Power and Electrical,Electrical Manufacturing,DIGITAL PANEL METERS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON DIGITAL PANEL METERS.pdf,365000
"Apparel, Made-Ups & Home Furnishing",Accessories,FANCY TERRACOTTA & UTILITY ARTICLES ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FANCY TERRACOTTA & UTILITY ARTICLES.pdf,383000
Food Processing,Snack Making,Snack Making,/srv/YouthMissionMobile/DPR/Ridhi__Sidhi__foods.pdf,2000000
