Sector,Sub Sector,Project Name,View Profile,Total Project Cost
Food Processing,Vegetable Processing,Capsicum Processing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CapsicumProcessing.pdf,2100000
Automotive,Vehicle Maintenance,Car Dust Cleaner,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Cardustcleaner.pdf,503000
Automotive,Vehicle Maintenance,Car Radiator,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CarRadiator.pdf,2344000
Automotive,Vehicle Maintenance,Car Washing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CarWashing.pdf,990000
Automotive,Vehicle Maintenance,Car wind shield wiper,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CarWindShieldWiper.pdf,1732000
Food Processing,Beverage Manufacturing,Carbonated Soft Drink,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CarbonatedSoftDrink.pdf,2500000
Furniture & Fittings,Woodworking,CARPENTARY WORKSHOP,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CARPENTARY WORKSHOP.pdf,796000
Furniture & Fittings,Woodworking,Carpentery Shop/ Wood Structure Furniture and Joinery,/srv/YouthMissionMobile/DPR/Furniture__Manufacturing.pdf,500000
Furniture & Fittings,Woodworking,CARPENTRY UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CARPENTRY UNIT.pdf,1240000
Handicrafts and Carpet,Carpets,Carpet Finishing Work,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CarpetFinishingWork.pdf,1194000
Logistics,Packaging Materials,Case Rolls,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CaseRolls.pdf,4397000
Food Processing,Beverages,cashew apple syrup,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/cashewAppleSyrup.pdf,2132000
Food Processing,Beverages,Cashew nut shell Liquid,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CashewnutshellLiquid.pdf,2044000
Food Processing,Nut Processing,Cashew Processing Project,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CashewProcessingProject.pdf,3886000
Food Processing,Nut Processing,CASHEWNUT PROCESSING,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CASHEWNUT PROCESSING.pdf,1800000
Food Processing,Spice Processing,Cassia Seeds,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CassiaSeeds.pdf,1659000
Food Processing,Oil Processing,Castor Oil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CastorOil.pdf,1389000
Agriculture,Livestock Feed,CATTLE / POULTRY FEED,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CATTLE  POULTRY FEED SCHEME.pdf,1000000
Agriculture,Livestock Feed,Cattle Feed,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CattleFeed.pdf,2133000
Electronics,Electronics Assembly,CCTV Camera Assembling unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CCTVCameraAssemblingunit.pdf,567000
Electronics,Cooling & Ventilation,Ceiling Fan,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CeilingFan.pdf,2478000
Retail,Store,CEMENT & IRON STORE,/srv/YouthMissionMobile/DPR/Trading__of__Cement__&__Saria.pdf,1150000
Construction,Construction Materials,Cement Block,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CementBlock.pdf,2398000
Construction,Building Materials,Cement Brick Manufacturing,/srv/YouthMissionMobile/DPR/Cement_Brick_Manufacturing.pdf,1200000
Construction,Construction Materials,Cement Grill,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CementGrill.pdf,1193000
Construction,Construction Materials,CEMENT JALLI,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CEMENT JALLI.pdf,725000
Construction,Construction Materials,"CEMENT JALLI , DOORS, WINDOWS AND ALLIED PRODUCTS","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CEMENT JALLI , DOORS, WINDOWS AND ALLIED PRODUCTS.pdf",1700000
Construction,Ceramic Art,CERAMIC ART WARES SCHEME,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CERAMIC ART WARES SCHEME.pdf,1700000
Water Management and Plumbing,Water Filtration,CERAMIC CANDLES (FOR WATER FILTER),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CERAMIC CANDLES (FOR WATER FILTER).pdf,860000
Construction,Ceramic Art,CERAMIC COLOURS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CERAMIC COLOURS SCHEME.pdf,1375500
Construction,Ceramic Manufacturing,Ceramic Paints,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CeramicPaints.pdf,2363000
Construction,Ceramics,ceramic sanitaryware wash basin,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CeramicSanitarywareWashBasin.pdf,1574000
"Apparel, Made-Ups & Home Furnishing",Home Decor,CERAMIC TABLE WARES AND ALLIED ITEMS IN STONEWARE EARTHENWARE SEMI VITREOUSWARE,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CERAMIC TABLE WARES AND ALLIED ITEMS IN STONEWARE EARTHENWARE SEMI VITREOUSWARE.pdf,1105000
Construction,Tile Manufacturing,Ceramic Tiles,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CeramicTiles.pdf,2478000
Other Sectors,Drawing Supplies,CHALK CRAYONS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT  PROFILE  ON  CHALK  CRYONS.pdf,135000
Other Sectors,Stationery Manufacturing,Chalk making,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Chalkmaking.pdf,393000
Food Processing,Beverages,chamomile tea,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/chamomileTea.pdf,1566000
Food Processing,Bakery,Chapati Making Machine,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Chapatimakingmachine.pdf,439000
Beauty & Wellness,Beauty,Charcoal body wash,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CharcoalBodyWash.pdf,2478000
Beauty & Wellness,Skin Care,Charcoal Facewash,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CharcoalFacewash.pdf,1780000
Food Processing,Dairy,cheese slice,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CheeseSlice.pdf,1727000
Handicrafts and Carpet,Woodworking,CHEMICAL ETCHING ON WOOD,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CHEMICAL ETCHING ON WOOD.pdf,90000
Construction,Construction Materials,CHEMICAL PORCELAIN (MBI),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CHEMICAL PORCELAIN (MBI).pdf,175000
Food Processing,Seed & Grain Processing,Chia Seeds,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChiaSeeds.pdf,2019000
Food Processing,Poultry Processing,Chicken Nuggets,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChickenNuggets.pdf,2467000
Food Processing,Grain Processing,Chickpea(White Chole),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChickpeaWhiteChole.pdf,1964000
Food Processing,Pulses,chickpeas,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/chickpeas.pdf,2216000
Food Processing,Beverage Manufacturing,Chicory Powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChicoryPowder.pdf,2350000
"Apparel, Made-Ups & Home Furnishing",Embroidery,Chikankari work unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Chikankariworkunit.pdf,842000
"Apparel, Made-Ups & Home Furnishing",Children's Clothing,CHILDREN GARMENTS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CHILDREN GARMENTS.pdf,985000
Other Sectors,Children's Shoes,CHILDREN SHOE,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CHILDREN SHOE.pdf,1623000
Food Processing,Spice Processing,Chilli Powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChilliPowder.pdf,2344000
Food Processing,Seed Processing,Chironji Processing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChironjiProcessing.pdf,1663000
Water Management and Plumbing,Water Purification,Chlorine Tablets,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChlorineTablets.pdf,1130000
Food Processing,Dairy Products,Chocolate Milk,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChocolateMilk.pdf,2047000
Iron and Steel,Plating,Chrome Plating,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ChromePlating.pdf,1544000
Other Sectors,Paper Manufacturing,Cigarette paper,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CigarettePaper.pdf,2272000
Other Sectors,Recycling,cigarette waste plastic pellets,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CigaretteWastePlasticPellets.pdf,1618000
Food Processing,Spice Processing,Cinnamon Powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CinnamonPowder.pdf,2494000
Beauty & Wellness,Essential Oils,Citronella Oil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CitronellaOil.pdf,2500000
Construction,Construction Materials,Clay Bricks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ClayBricks.pdf,2288000
Construction,Construction Materials,CLC Blocks Manufacturing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CLCBlocksManufacturing.pdf,2111000
"Rubber, Chemical and Petrochemical",Household Cleaning,CLEANING POWDER,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CLEANING POWDER.pdf,250000
Beauty & Wellness,Accessories,Clutcher,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Clutcher.pdf,2253000
Food Processing,Dairy Products,Coconut Milk,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoconutMilk.pdf,2244000
Food Processing,Oil Processing,COCONUT OIL AND OIL CAKE MANUAFCURING ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON COCONUT OIL AND OIL CAKE MANUAFCURING.pdf,1950000
Food Processing,Dairy Products,Coffee Flavoured Milk,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoffeeFlavouredMilk.pdf,2296000
Beauty & Wellness,Skin Care,Coffee Scrub,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoffeeScrub.pdf,2300000
Textile,Textile Manufacturing,Coir Brush Making,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoirBrushMaking.pdf,1800000
Textile,Textile Manufacturing,Coir Fibre Extraction Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoirFibreExtractionUnit.pdf,2500000
Textile,Textile Manufacturing,coir garden pot,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoirGardenPot.pdf,1934000
Textile,Textile Manufacturing,Coir Matting Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoirMattingUnit.pdf,2500000
Textile,Textile Manufacturing,Coir Mattress,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoirMattress.pdf,2500000
Logistics,Packaging Materials,Coir Moulded Tray making,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoirMouldedTraymaking.pdf,2500000
Agriculture,Composting,Coir Pith Block making unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoirPithBlockmakingunit.pdf,2500000
Agriculture,Cooling & Ventilation,Cold Room,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ColdRoom.pdf,2140000
Food Processing,Oil Processing,Coldpress Coconut Oil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ColdpressCoconutOil.pdf,1239000
Food Processing,Oil Processing,Coldpress Seasame Oil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ColdpressSeasameOil.pdf,1239000
"Apparel, Made-Ups & Home Furnishing",Coloring & Dyeing,Coloring and Dyeing_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ColoringandDyeingDPR.pdf,1586000
Agriculture,Honey Processing,HONEY COMB FOUNDATION UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMB FOUNDATION UNIT.pdf,183000
Agriculture,Beekeeping,COMMERCIAL APIARY UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMMERCIAL APIARY UNIT (100 Bee Colonies of Apis cerana).pdf,171000
Agriculture,Beekeeping,COMMERCIAL APIARY UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMMERCIAL APIARY UNIT (100 Bee Colonies of Apis Mellifera).pdf,234500
Food Processing,Spice Processing,COMPOUND ASAFOETIDIA (HING),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMPOUND ASAFOETIDIA (HING).pdf,620000
IT-ITeS,IT Services,COMPUTER MAINTENANCE AND SERVICING UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMPUTER MAINTENANCE AND SERVICING UNIT.pdf,189348
Other Sectors,Stationery Manufacturing,Computer Stationery,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ComputerStationery.pdf,2356000
Media & Entertainment,Advertising,COMPUTERIZED ADVERTISEMENT DESIGN ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/COMPUTERIZED ADVERTISEMENT DESIGN.pdf,576000
Iron and Steel,Security Products,Concertina Wire,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ConcertinaWire.pdf,2067000
Food Processing,Confectionery,Confectionery_agro,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Confectioneryagro.pdf,2000000
Automotive,Vehicle Parts,Connecting Rod,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ConnectingRod.pdf,2186000
Electronics,Appliances,cooler pump,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoolerPump.pdf,1617000
Iron and Steel,Kitchenware,Copper Bottles & Jugs,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CopperBottles&Jugs.pdf,1874000
Iron and Steel,Metalworking,Copper Powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CopperPowder.pdf,1856000
Electronics,Communication Devices,Cordless Phone,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CordlessPhone.pdf,2369000
Food Processing,Spice Processing,Coriander Powder final,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CorianderPowderfinal.pdf,2168000
Food Processing,Spice Processing,Coriander Seeds,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CorianderSeeds .pdf,1028000
Food Processing,Snack Manufacturing,Corn Puff Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CornPuffUnit.pdf,2366000
Logistics,Packaging Materials,Corrugated Boxes,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CorrugatedBoxes.pdf,2484000
Textile,Textile Manufacturing,Cotton Bags,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CottonBags.pdf,2044000
Textile,Textile Services,"COTTON LACES, FILE TAGES & COTTON TAPES","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON COTTON LACES, FILE TAGES & COTTON TAPES.pdf",975000
Beauty & Wellness,Personal Care,Cotton Swabs,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CottonSwabs.pdf,2492000
Other Sectors,Household Items,Cotton Wicks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CottonWicks.pdf,100000
Other Sectors,Stationery,crayons,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/crayons.pdf,2446000
"Sports, Physical Education, Fitness & Leisure",Sports Equipment Manufacturing,CRICKET BALLS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CRICKET BALLS.pdf,423500
"Sports, Physical Education, Fitness & Leisure",Sports Equipment,Cricket Bat,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CricketBat.pdf,2313000
"Sports, Physical Education, Fitness & Leisure",Equipment,cricket bat,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CricketBat.pdf,2313000
"Sports, Physical Education, Fitness & Leisure",Sports Equipment Manufacturing,CRICKET BATS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CRICKET BATS.pdf,335000
"Sports, Physical Education, Fitness & Leisure",Equipment,cricket gloves,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CricketGloves.pdf,1193000
Food Processing,Snack Manufacturing,Crispy Corn Snacks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CrispyCornSnacks.pdf,1596000
Agriculture,Horticulture,Cultivation of High Density Apple Orchard,/srv/YouthMissionMobile/DPR/Cultivation__of__High__density__Orchard.pdf,1500000
Food Processing,Biscuit Making,Cumin Biscuit (Jeera Biscuit) Final,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CuminBiscuitJeeraBiscuitFinal.pdf,2197000
Food Processing,Spice Processing,Cumin Cleaning & Processing Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CuminCleaning&ProcessingUnit.pdf,2396000
Food Processing,Spices,cumin powder final,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/cuminpowderfinal.pdf,2386000
Food Processing,Dairy Products,Curd unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Curdunit.pdf,1057000
Textile,Textile Manufacturing,Curled Coir Rope,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CurledCoirRope.pdf,2500000
Textile,Textile Manufacturing,Curtain Making_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CurtainMakingDPR.pdf,950000
Textile,Textile Manufacturing,Cushion Cover_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CushionCoverDPR.pdf,820000
IT-ITeS,IT Services,CYBER CAFÉ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CYBER CAFE & BACK OFFICE SERVICES.pdf,666500
Agriculture,Livestock Farming,Dairy Farm Cow,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DairyFarmCow.pdf,500000
Agriculture,Livestock Farming,Dairy Farm Unit (Buffalo),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DairyFarmUnitBuffalo.pdf,1110000
Agriculture,Dairy Farming,Dairy Farming,/srv/YouthMissionMobile/DPR/Dairy__Farm__updated.pdf,500000
Agriculture,Dairy Farming,Dairy Farming,/srv/YouthMissionMobile/DPR/Dairy__Farm__SEI__20Lac.pdf,2000000
Agriculture,Dairy Farming,Dairy Farming,/srv/YouthMissionMobile/DPR/Dairy__Farming.pdf,1200000
Food Processing,Grain Processing,Dal mill,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Dalmill.pdf,5536000
Food Processing,Cereal Manufacturing,Daliya manufacturing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Daliyamanufacturing.pdf,1705000
Food Processing,Cereal Manufacturing,DALIYA MANUFACTURING UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DALIYA MANUFACTURING UNIT.pdf,240000
Food Processing,Pickle Making,Dalley Khorsani Pickle,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DalleyKhorsaniPickle.pdf,2257000
Other Sectors,Glass Manufacturing,DECORATIVE GLASSWARE ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON DECORATIVE GLASSWARE.pdf,1620000
Food Processing,Vegetable Processing,Dehydrated Vegetables,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DehydratedVegetables.pdf,2500000
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,Denim Garments,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DenimGarments.pdf,2500000
Retail,Store,Departmental Store,/srv/YouthMissionMobile/DPR/Departmental__Store__20Lakh__New.pdf,2000000
Retail,Store,Departmental Store,/srv/YouthMissionMobile/DPR/Departmental__Store.pdf,1100000
Retail,Store,Departmental/General Store,/srv/YouthMissionMobile/DPR/General__Store__5Lac.pdf,500000
Food Processing,Coconut Processing,Desiccated Coconut Powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DesiccatedCoconutPowder.pdf,1444000
Other Sectors,Cleaning Products,Detergent cake,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Detergentcake.pdf,1177000
Other Sectors,Cleaning Products,Detergent Powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DetergentPowder.pdf,1022700
Other Sectors,Pooja Items,Dhoop Batti,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DhoopBatti.pdf,1300000
HealthCare,Clinic/Laboratory,Diagonastic Laboratory,/srv/YouthMissionMobile/DPR/Diagnostic__Lab__5__Lac__Start-up.pdf,500000
"Rubber, Chemical and Petrochemical",Chemicals,diatomaceous earth powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/diatomaceousearthpowder.pdf,2463000
Electronics,Electronics Manufacturing,DIGITAL CLOCK,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON DIGITAL CLOCK .pdf,250000
Strategic Manufacturing,Disposable Items,Disposable Plates & Dona,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DisposablePlatesDona.pdf,535000
Retail,Store,"Distribution of Oil, Tea, Spices and Dry Fruits",/srv/YouthMissionMobile/DPR/Distribution__of__oil__tea__spices__and__dry__fruits.pdf,1200000
Domestic Works,Pet Services,Dog grooming centre,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DogGroomingCentre.pdf,1988000
Electronics,Electronics Manufacturing,DOMESTIC ELECTRONIC TIMER,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON DOMESTIC ELECTRONIC TIMER.pdf,160000
Strategic Manufacturing,Kitchen Appliances,Domestic Pressure Cooker,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DomesticPressureCooker.pdf,2740000
Other Sectors,Hardware,door closer,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DoorCloser.pdf,1930000
Other Sectors,Stationery Manufacturing,DRAWING BOARDS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON DRAWING BOARDS.pdf,905000
Other Sectors,Laundry Services,Dry Cleaners,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DryCleaners.pdf,997000
Strategic Manufacturing,Painting Products,Dry Distemper,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DryDistemper.pdf,2444000
Other Sectors,Handicrafts,dry flower,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DryFlower.pdf,2202000
Electronics,DTP Centre,DTP Centre,/srv/YouthMissionMobile/DPR/Desk__Top__Publishing__centre__(__Wasim__Ah__Naik).pdf,1000000
Electronics,DTP Centre,DTP Centre & Stationary Shop,/srv/YouthMissionMobile/DPR/DTP__Centre__&__Stationary__Shop.pdf,850000
Other Sectors,Education,Education Consultancy,/srv/YouthMissionMobile/DPR/Education__Consultancy.pdf,1000000
Food Processing,Packaging Materials,Egg tray,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Eggtray.pdf,3160000
Electronics,Electronics Manufacturing,ELCTRONIC CALCULATORS (POCKET/DESK TOP) ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELCTRONIC CALCULATORS (POCKETDESK TOP).pdf,1722000
Electronics,Electronics Manufacturing,Electric Door Chimes,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricDoorChimes.pdf,1459000
Automotive,Accessories,electric horns,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricHorns.pdf,2324000
Electronics,Home Appliances,Electric Kettle,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricKettle.pdf,2089000
Electronics,Home Appliances,Electric Tandoor,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricTandoor.pdf,1480000
Strategic Manufacturing,Kitchen Appliances,ELECTRIC TANDOOR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ELECTRIC TANDOOR.pdf,786500
Electronics,Home Appliances,Electric Toaster,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricToaster.pdf,3233000
Other Sectors,Maintenance & Repair,ELECTRO STATIC POWDER COATING ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ELECTRO STATIC POWDER COATING.pdf,770000
Other Sectors,Metalworking,ELECTROLESS NICKEL PLATING,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELECTROLESS NICKEL PLATING.pdf,1260000
Strategic Manufacturing,Home Security,ELECTRONIC DOOR BELLS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELECTRONIC DOOR BELLS.pdf,160000
Strategic Manufacturing,Kitchen Appliances,ELECTRONIC GAS LIGHTERS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ELECTRONIC GAS LIGHTERS.pdf,473400
Other Sectors,Maintenance & Repair,ELECTRONIC REPAIR UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ELECTRONIC REPAIR UNIT.pdf,113000
