"ID","Project Name","Sector","Sub Sector","Total Project Cost","View Profile"
784,"LEATHER APRONS (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Clothing Manufacturing","1125000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER APRONS.pdf"
785,"LEATHER APRONS (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Clothing Manufacturing","1125000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER APRONS.pdf"
786,"LEATHER APRONS (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Clothing Manufacturing","1125000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER APRONS.pdf"
787,"LEATHER APRONS (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Clothing Manufacturing","1125000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER APRONS.pdf"
788,"LEATHER APRONS (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Clothing Manufacturing","1125000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER APRONS.pdf"
789,"LEATHER APRONS (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Clothing Manufacturing","1125000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER APRONS.pdf"
790,"LEAD PENCILS (Ã‚Â MINERAL BASED INDUSTRYÃ‚Â )","Other Sectors","Stationery Manufacturing","875000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEAD PENCILS.pdf"
791,"LEAD PENCILS (Ã‚Â MINERAL BASED INDUSTRYÃ‚Â )","Other Sectors","Stationery Manufacturing","875000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEAD PENCILS.pdf"
792,"LEAD PENCILS (Ã‚Â MINERAL BASED INDUSTRYÃ‚Â )","Other Sectors","Stationery Manufacturing","875000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEAD PENCILS.pdf"
793,"LAUNDRY SOAP (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Cleaning Products","1050000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAUNDRY SOAP.pdf"
794,"LAUNDRY SOAP (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Cleaning Products","1050000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAUNDRY SOAP.pdf"
795,"LAUNDRY SOAP (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Cleaning Products","1050000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAUNDRY SOAP.pdf"
796,"LAMP HOLDERS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Electronics","Electronics Manufacturing","1020000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAMP HOLDERS.pdf"
797,"LAMP HOLDERS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Electronics","Electronics Manufacturing","1020000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAMP HOLDERS.pdf"
798,"LAMP HOLDERS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Electronics","Electronics Manufacturing","1020000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAMP HOLDERS.pdf"
799,"LAMP HOLDERS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Electronics","Electronics Manufacturing","330000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAMP HOLDERS - 1.pdf"
800,"LAMP HOLDERS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Electronics","Electronics Manufacturing","330000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAMP HOLDERS - 1.pdf"
801,"LAMP HOLDERS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Electronics","Electronics Manufacturing","330000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAMP HOLDERS - 1.pdf"
