"ID","Project Name","Sector","Sub Sector","Total Project Cost","View Profile"
719,"NAPHTHALENE BALLS (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Pest Control","130610","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON NAPHTHALENE BALLS.pdf"
720,"MUSTARD OIL AND OIL CAKE MANUAFCURING (Ã‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃ‚Â )","Food Processing","Oil Processing","1950000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MUSTARD OIL AND OIL CAKE MANUAFCURING.pdf"
721,"MUSTARD OIL AND OIL CAKE MANUAFCURING (Ã‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃ‚Â )","Food Processing","Oil Processing","1950000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MUSTARD OIL AND OIL CAKE MANUAFCURING.pdf"
722,"MUSTARD OIL AND OIL CAKE MANUAFCURING (Ã‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃ‚Â )","Food Processing","Oil Processing","1950000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MUSTARD OIL AND OIL CAKE MANUAFCURING.pdf"
723,"MULTIPURPOSE COMPUTER CENTRE/CYBER CAFÃƒâ€° (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Other Sectors","Internet Services","536000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MULTIPURPOSE COMPUTER CENTRECYBER CAFE.pdf"
724,"MULTIPURPOSE COMPUTER CENTRE/CYBER CAFÃƒâ€° (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Other Sectors","Internet Services","536000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MULTIPURPOSE COMPUTER CENTRECYBER CAFE.pdf"
725,"Plastic moulded toys","Other Sectors","Toys","2483000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Plasticmouldedtoys.pdf"
726,"MULTIPURPOSE COMPUTER CENTRE/CYBER CAFÃƒâ€° (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Other Sectors","Internet Services","536000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MULTIPURPOSE COMPUTER CENTRECYBER CAFE.pdf"
727,"MINIATURE CIRCUIT BREAKERS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Electronics","Electronics Manufacturing","1650000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MINIATURE CIRCUIT BREAKERS.pdf"
728,"MINIATURE CIRCUIT BREAKERS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Electronics","Electronics Manufacturing","1650000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MINIATURE CIRCUIT BREAKERS.pdf"
729,"MINIATURE CIRCUIT BREAKERS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Electronics","Electronics Manufacturing","1650000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MINIATURE CIRCUIT BREAKERS.pdf"
730,"MINERAL GRINDING (Ã‚Â MINERAL BASED INDUSTRYÃ‚Â )","Other Sectors","Mineral Processing","1200000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MINERAL GRINDING.pdf"
731,"MINERAL GRINDING (Ã‚Â MINERAL BASED INDUSTRYÃ‚Â )","Other Sectors","Mineral Processing","1200000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MINERAL GRINDING.pdf"
732,"MINERAL GRINDING (Ã‚Â MINERAL BASED INDUSTRYÃ‚Â )","Other Sectors","Mineral Processing","1200000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MINERAL GRINDING.pdf"
733,"MILK BASED PRODUCTS (Ã‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃ‚Â )","Food Processing","Dairy Products","2000000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MILK BASED PRODUCTS.pdf"
734,"MILK BASED PRODUCTS (Ã‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃ‚Â )","Food Processing","Dairy Products","2000000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MILK BASED PRODUCTS.pdf"
735,"MILK BASED PRODUCTS (Ã‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃ‚Â )","Food Processing","Dairy Products","2000000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MILK BASED PRODUCTS.pdf"
736,"MANGO JELLY/AAM PAPAD (Ã‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃ‚Â )","Food Processing","Fruit Processing","1200000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MANGO JELLYAAM PAPAD.pdf"
737,"MANGO JELLY/AAM PAPAD (Ã‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃ‚Â )","Food Processing","Fruit Processing","1200000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MANGO JELLYAAM PAPAD.pdf"
738,"MANGO JELLY/AAM PAPAD (Ã‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃ‚Â )","Food Processing","Fruit Processing","1200000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON MANGO JELLYAAM PAPAD.pdf"
