"Sr. No.","Sector","Name Of Course","Online","Duration","Required Age","Minimum Education","Requisites","Language","Required Description","For Certification Advanced Module","Video Link To Embed","Project Under Hadp","Skill Training Course","Title Of Lectures","Link Kashmiri Video","Link Urdu Video","Link Dogri Video","Link Hindi Video","Course Language"
11,"IT-ITeS","Azure Function with Visual Studio : Develop and Deploy","Free","00:43 hours","18+","12th Pass, ITI, Diploma","developer,vs-ide,azure-functions","English","Use Visual Studio together with a test framework to create, deploy, and test an Azure Function.","https://www.skillindiadigital.gov.in/courses/detail/d4a6fd0a-e6c8-4717-9020-5c47ca40395f",null,null,null,null,null,null,null,null,null
12,"IT-ITeS","Authenticate your Azure Deployment Pipeline by using Service Principals","Free","00:34 hours","18+","12th Pass, ITI, Diploma","developer,administrator,solution-architect,entra-id,azure-devops","English","Learn how to create, manage, and grant permissions to service principals, which enable your deployment pipelines to securely authenticate to Azure.","https://www.skillindiadigital.gov.in/courses/detail/20dec2ea-dd4d-45be-9404-7370326339c4",null,null,null,null,null,null,null,null,null
13,"IT-ITeS","Art of selecting use cases for winning Autonomous AI","Free","00:16 hours","18+","12th Pass, ITI, Diploma","bonsai","English","In this module, you'll learn how to identify use cases that are a good fit to be solved using Machine Teaching for Autonomous AI.","https://www.skillindiadigital.gov.in/courses/detail/5f1f5c2a-6046-45c7-9aa7-937da9caca18",null,null,null,null,null,null,null,null,null
14,"IT-ITeS","Securing you: Basics and beyond","Free","00:34 hours","18+","12th Pass, ITI, Diploma","solution-architect,administrator,developer","English","Learn how to secure yourself from common online threats and protect your identity at work and home.","https://www.skillindiadigital.gov.in/courses/detail/dd701e0d-c553-41c7-aa70-d5651f8846cb",null,null,null,null,null,null,null,null,null
15,"IT-ITeS","Design a Performant Data Model in Azure SQL Database with Azure Data Studio","Free","02:31 hours","Above 18","12th Pass, ITI, Diploma","azure-sql-database,azure-sql-managed-instance","English","Learn how to create a data model, tables, indexes, constraints, and use data types with Azure data studio.","https://www.skillindiadigital.gov.in/courses/detail/e77e798f-3ec6-4efe-a089-08b3e51969c2",null,null,null,null,null,null,null,null,null
16,"IT-ITeS","Create calculation groups","Free","01:03 hours","Above 18","12th Pass, ITI, Diploma","data-analyst,data-engineer,power-bi","English","Create calculation groups","https://www.skillindiadigital.gov.in/courses/detail/c5c62a17-6dbf-41f3-a6a5-132511909c34",null,null,null,null,null,null,null,null,null
17,"IT-ITeS","Monitor the Azure Private 5G Core","Free","00:40 hours","18+","12th Pass, ITI, Diploma","service-adoption-specialist,solution-architect,technology-manager","English","Describes the monitoring capabilities of Azure Private 5G Core, the tools for monitoring the service, and the tool for diagnosing network issues.","https://www.skillindiadigital.gov.in/courses/detail/780b035f-fc4d-4880-9404-14284812638c",null,null,null,null,null,null,null,null,null
18,"IT-ITeS","Place a Mars Rover object in the scene and work with grids and intelligent object tracking","Free","00:54 hours","18+","12th Pass, ITI, Diploma","developer,windows,windows-mixed-reality,mrtk","English","This course provides you with an understanding of placing objects and tracking objects using solvers.","https://www.skillindiadigital.gov.in/courses/detail/63860a23-5cd6-4444-ae8e-a91a1761d987",null,null,null,null,null,null,null,null,null
19,"IT-ITeS","Pitching Your Company","Free","00:32 hours","18+","12th Pass, ITI, Diploma","business-owner,business-analyst,functional-consultant,consumer","English","In this module, you'll learn how to pitch your startup to investors, discover what makes a pitch effective, and get tips for delivering compelling pitches.","https://www.skillindiadigital.gov.in/courses/detail/410e8ce0-4d30-49ad-9906-56168b37624e",null,null,null,null,null,null,null,null,null
20,"IT-ITeS","Implement Error handling and logging in Go","Free","00:18 hours","18+","12th Pass, ITI, Diploma","developer","English","Understand how to handle errors and log helpful information in your Go programs.","https://www.skillindiadigital.gov.in/courses/detail/e3f685e0-6756-4270-852b-fcfa5ddd3926",null,null,null,null,null,null,null,null,null
21,"IT-ITeS","Configure Azure Application Gateway","Free","00:19 hours","18+","12th Pass, ITI, Diploma","administrator,azure-vpn-gateway","English","Learn how to configure Azure Application Gateway.","https://www.skillindiadigital.gov.in/courses/detail/954b2db2-5a9c-4c66-8d9e-c456ced7874d",null,null,null,null,null,null,null,null,null
22,"IT-ITeS","Monitor APP Performance","Free","00:24 hours","Above 18","12th Pass, ITI, Diploma","developer,azure-monitor","English","Monitor app performance","https://www.skillindiadigital.gov.in/courses/detail/7703163f-1518-4556-bd48-241d307643d2",null,null,null,null,null,null,null,null,null
23,"IT-ITeS","Introduction to HoloLens","Free","00:33 hours","Above 18","12th Pass, ITI, Diploma","beginner,business-analyst,hololens","English","This course provides a basic understanding of what HoloLens can do for an organization","https://www.skillindiadigital.gov.in/courses/detail/ee534b32-d7f7-429c-80bd-ac47612bf11f",null,null,null,null,null,null,null,null,null
24,"IT-ITeS","Introduction to Azure ExpressRoute","Free","00:18 hours","18+","12th Pass, ITI, Diploma","administrator,solution-architect,azure-expressroute","English","This module explains what Azure ExpressRoute does, how it works, and when you should choose to use Azure ExpressRoute as a solution.","https://www.skillindiadigital.gov.in/courses/detail/dd66f745-95b7-457f-ace8-24715177ff3c",null,null,null,null,null,null,null,null,null
25,"IT-ITeS","Introduction to Azure Advisor","Free","00:16 hours","18+","12th Pass, ITI, Diploma","developer,administrator,solution-architect,azure-advisor","English","This module introduces you to Azure Advisor and describes its characteristics, capabilities, and use cases.","https://www.skillindiadigital.gov.in/courses/detail/bcfa4f26-da83-4d3f-b4a1-506d49117fc2",null,null,null,null,null,null,null,null,null
26,"IT-ITeS","Interact with an ASP.NET Core minimal API","Free","00:37 hours","18+","12th Pass, ITI, Diploma","developer,aspnet-core,dotnet,aspnet-web-api","English","Learn how APIs are implemented in ASP.NET Core, and how to use API documentation to learn the APIs requirements.","https://www.skillindiadigital.gov.in/courses/detail/9a773dd3-307d-47c7-8155-c958d5b0d843",null,null,null,null,null,null,null,null,null
27,"IT-ITeS","Integrate Adaptive Cards into Windows 10 Timeline","Free","00:45 hours","18+","12th Pass, ITI, Diploma","developer,windows","English","Learn how to develop a simple adaptive card to enhance the appearance in Windows 10 Timeline of your Universal Windows Platform app.","https://www.skillindiadigital.gov.in/courses/detail/5285ddbb-45aa-4ed0-a82e-450e5bc56156",null,null,null,null,null,null,null,null,null
28,"IT-ITeS","Azure Logic Apps Workflow using a Custom Connector : API Call","Free","00:40 hours","18+","12th Pass, ITI, Diploma","developer,azure-logic-apps","English","In this module, learn to create an Azure Logic Apps custom connector to call an API from an Azure Logic Apps workflow.","https://www.skillindiadigital.gov.in/courses/detail/16bacfe0-91b9-4bd6-8e05-d0d4e6a1d1d7",null,null,null,null,null,null,null,null,null
29,"IT-ITeS","Applications to Azure using GitHub Actions : Build and Deploy","Free","00:59 hours","18+","12th Pass, ITI, Diploma","devops-engineer,administrator,developer,github","English","Create two deployment workflows using GitHub Actions and Microsoft Azure. Learn about triggering a CD workflow and storing credentials.","https://www.skillindiadigital.gov.in/courses/detail/f3a2f712-4c40-46fc-91b2-0813ad702e99",null,null,null,null,null,null,null,null,null
