"Sr. No.","Sector","Name Of Course","Online","Duration","Required Age","Minimum Education","Requisites","Language","Required Description","For Certification Advanced Module","Video Link To Embed","Project Under Hadp","Skill Training Course","Title Of Lectures","Link Kashmiri Video","Link Urdu Video","Link Dogri Video","Link Hindi Video","Course Language"
202,"IT-ITeS","Python Programming","Free","40:00 hours","16+","Na","Na","English","Get started with Python! Learn how to create programs and projects in Python. Work with strings, lists, loops, dictionaries, and functions.","https://www.skillindiadigital.gov.in/courses/detail/9645a75e-1ef6-419f-b93e-d239f930bc8b",null,null,null,null,null,null,null,null,null
203,"IT-ITeS","Explore Data Roles and Services","Free","00:15 hours","18+","12th Pass, ITI, Diploma","data-analyst,data-engineer,database-administrator","English","Data professionals perform distinct roles in building and managing software solutions, and work with multiple technologies and services to do so.","https://www.skillindiadigital.gov.in/courses/detail/d40219ae-7aeb-4cdb-928f-ef00b2f099e5",null,null,null,null,null,null,null,null,null
204,"IT-ITeS","Examine Microsoft Defender for IoT Security Agents","Free","00:27 hours","18+","12th Pass, ITI, Diploma","developer,azure-iot-edge,azure-iot-hub","English","This module introduces you to Microsoft Defender for IoT security agents and how security agents can be used to extend your security monitoring capabilities to the device-side of your IoT solution.","https://www.skillindiadigital.gov.in/courses/detail/e4830311-b971-49dc-8b4d-f2143345c6cd",null,null,null,null,null,null,null,null,null
205,"IT-ITeS","Embrace Responsible AI Principles and Practices","Free","00:48 hours","18+","12th Pass, ITI, Diploma","business-owner,business-user,dynamics-365,m365","English","This module is designed to help you adopt responsible AI practices. It offers an overview of the principles, governance system, and procedures followed at Microsoft, but we encourage you to develop your own AI strategy.","https://www.skillindiadigital.gov.in/courses/detail/e24d0221-9813-4540-969f-91bd509274fe",null,null,null,null,null,null,null,null,null
206,"IT-ITeS","Developer Tools for Workspace Interaction","Free","00:57 hours","18+","12th Pass, ITI, Diploma","data-scientist,azure-machine-learning","English","Learn how you can interact with the Azure Machine Learning workspace. You can use the Azure Machine Learning studio, the Python SDK (v2), or the Azure CLI (v2).","https://www.skillindiadigital.gov.in/courses/detail/18d32845-3806-4c8b-a94b-f74c8519ed09",null,null,null,null,null,null,null,null,null
207,"IT-ITeS","Configure Hyper-V Virtual Machines","Free","00:45 hours","18+","12th Pass, ITI, Diploma","administrator,solution-architect,windows-server","English","Learn about configuring and managing Hyper-V virtual machines in Windows Server 2019.","https://www.skillindiadigital.gov.in/courses/detail/373a6bff-dc8e-4cc0-8d43-79731c445b1f",null,null,null,null,null,null,null,null,null
208,"IT-ITeS","Deploy a Containerized Application on Azure Kubernetes","Free","01:04 hours","18+","12th Pass, ITI, Diploma","solution-architect,developer,devops-engineer,azure-kubernetes-service,azure-container-registry","English","Explore how to create and deploy a containerized application by using Azure Kubernetes Service declarative manifest files.","https://www.skillindiadigital.gov.in/courses/detail/552679c1-ce3d-466a-82c6-df7027824d7b",null,null,null,null,null,null,null,null,null
209,"IT-ITeS","Deploy SQL Server on Linux","Free","01:18 hours","18+","12th Pass, ITI, Diploma","administrator,sql-server","English","Learn about prerequisites to run SQL Server on Linux and the steps to install SQL Server on Linux. Also, learn about installing command-line tools.","https://www.skillindiadigital.gov.in/courses/detail/573720c3-15d0-4e4b-b2c4-9c59674c79a6",null,null,null,null,null,null,null,null,null
210,"IT-ITeS","Deploy Child and Extension Resources by using Bicep","Free","00:36 hours","18+","12th Pass, ITI, Diploma","devops-engineer,developer,administrator,azure-resource-manager","English","Learn how to deploy child and extension resources, and refer to existing resources, within your Bicep code.","https://www.skillindiadigital.gov.in/courses/detail/4be29bfa-e8a3-4e22-8660-303f8501e10e",null,null,null,null,null,null,null,null,null
211,"IT-ITeS","Deploy Azure Arc-enabled SQL Managed Instance","Free","01:09 hours","18+","12th Pass, ITI, Diploma","data-engineer,solution-architect,azure-arc,azure-sql-managed-instance","English","Describe how to deploy and manage an Azure Arc-enabled SQL managed instance.","https://www.skillindiadigital.gov.in/courses/detail/2f123ae9-ec4f-4f60-bea5-f3ed9f496ec3",null,null,null,null,null,null,null,null,null
212,"IT-ITeS","Deploy Azure AI Services in Containers","Free","00:54 hours","18+","12th Pass, ITI, Diploma","ai-engineer,developer,devops-engineer,ai-services,azure-container-instances","English","Learn about Container support in Azure AI services allowing the use of APIs available in Azure and enable flexibility in where to deploy and host the services with Docker containers.","https://www.skillindiadigital.gov.in/courses/detail/2cd17c1d-9457-40de-84e7-5f9f8e24369c",null,null,null,null,null,null,null,null,null
213,"IT-ITeS","Decompose a Monolithic Application into a Microservices Architecture","Free","00:52 hours","18+","12th Pass, ITI, Diploma","solution-architect,azure-functions,azure-app-service","English","Improve development agility, deployment, fault tolerance, and scalability by modernizing your application with a microservices architecture.","https://www.skillindiadigital.gov.in/courses/detail/72bd9022-77b9-416b-8bfd-ed3a02b6ce4e",null,null,null,null,null,null,null,null,null
214,"IT-ITeS","Data and Properties in React Components","Free","00:26 hours","18+","12th Pass, ITI, Diploma","developer,static-web-apps","English","The goal of React components is to create reusable blocks of code and UI. To support reusability, you can pass data into components through the use of properties. We will see how to add properties to a component, and work with complex data types such as arrays.","https://www.skillindiadigital.gov.in/courses/detail/1cb13ac3-e17e-4124-9213-0bed2852a73a",null,null,null,null,null,null,null,null,null
215,"IT-ITeS","Data Pipeline in Azure Synapse Analytics","Free","01:11 hours","18+","12th Pass, ITI, Diploma","data-engineer,azure-data-factory,azure-synapse-analytics","English","Pipelines are the lifeblood of a data analytics solution. Learn how to use Azure Synapse Analytics pipelines to build integrated data solutions that extract, transform, and load data across diverse systems.","https://www.skillindiadigital.gov.in/courses/detail/7baa8abb-7b30-44bf-a8a5-f7982fa2373f",null,null,null,null,null,null,null,null,null
216,"IT-ITeS","Custom Text Classification Solution","Free","00:58 hours","18+","12th Pass, ITI, Diploma","ai-engineer,developer,ai-services","English","The Azure AI Language service enables processing of natural language to use in your own app. Learn how to build a custom text classification project.","https://www.skillindiadigital.gov.in/courses/detail/d5cc4515-5e4b-4882-adb9-99f3b31995fa",null,null,null,null,null,null,null,null,null
217,"IT-ITeS","Create and Customize Altair 8800 cloud services","Free","00:34 hours","18+","12th Pass, ITI, Diploma","developer,azure-iot-central,azure-sphere","English","Learn how to customize IoT Central, create an Altair web terminal, and run the Altair virtual disk server.","https://www.skillindiadigital.gov.in/courses/detail/db7cd580-f3f4-4e28-9a05-3c6bca952341",null,null,null,null,null,null,null,null,null
218,"IT-ITeS","Create Azure Database for MySQL Flexible Server","Free","00:48 hours","18+","12th Pass, ITI, Diploma","data-engineer,database-administrator,developer,azure-database-mysql","English","Microsoft Azure Database for MySQL is an Azure managed data service. It considerably simplifies database deployment, management, and maintenance, while providing compatibility with existing MySQL database workloads.","https://www.skillindiadigital.gov.in/courses/detail/2d973768-804d-4e4e-8a0b-3665f3cc67c7",null,null,null,null,null,null,null,null,null
219,"IT-ITeS","Connect Azure Assets to Microsoft Defender for Cloud","Free","00:35 hours","18+","12th Pass, ITI, Diploma","security-operations-analyst,defender-for-cloud","English","Learn how to connect your various Azure assets to Microsoft Defender for Cloud to detect threats.","https://www.skillindiadigital.gov.in/courses/detail/049a0dbb-e5ba-4563-878d-0da1100ace9c",null,null,null,null,null,null,null,null,null
220,"IT-ITeS","Configure an NVIDIA DeepStream Development Environment","Free","01:00 hours","18+","12th Pass, ITI, Diploma","ai-engineer,data-scientist","English","Learn how to set up and configure an x86-based Ubuntu 18.04 system to host an NVIDIA DeepStream development environment.","https://www.skillindiadigital.gov.in/courses/detail/488e196a-d6dc-4e3f-836f-26fb8f682880",null,null,null,null,null,null,null,null,null
221,"IT-ITeS","Configure User Experience Settings","Free","01:27 hours","18+","12th Pass, ITI, Diploma","administrator,solution-architect,azure-virtual-desktop,azure-virtual-machines","English","Persistent virtual desktops save the operating system state in between reboots. Virtual desktop provides users easy and seamless access to their assigned VMs, often with a single sign-on solution.","https://www.skillindiadigital.gov.in/courses/detail/01e3b0da-5b0b-4017-bf39-479737d415a6",null,null,null,null,null,null,null,null,null
222,"IT-ITeS","Configure SQL Server Resources for Optimal Performance","Free","00:35 hours","18+","12th Pass, ITI, Diploma","data-analyst,data-engineer,database-administrator,azure-sql-database,sql-server","English","Configure hardware and server resources for optimum performance after establishing a baseline. Identify sources of performance problems. Troubleshoot using Azure SQL Intelligent Insights.,","https://www.skillindiadigital.gov.in/courses/detail/94d94659-eab5-470c-b601-e07693bad61c",null,null,null,null,null,null,null,null,null
223,"IT-ITeS","Configure Replication and Manage Failovers in Azure Cosmos DB","Free","00:39 hours","18+","12th Pass, ITI, Diploma","developer,azure-cosmos-db","English","Replicate data across the globe and manage automatic or manual failovers in Azure Cosmos DB.","https://www.skillindiadigital.gov.in/courses/detail/5075ed52-0196-4600-84fd-69e49ea55b58",null,null,null,null,null,null,null,null,null
224,"IT-ITeS","Microsoft Digital Productivity","Free","16:00 hours","16+","Na","Na","English","Take your productivity to the next level with Microsoft 365, which lets you work and collaborate from anywhere. - Office apps, like Excel, Word, and PowerPoint, including the latest.updates. - Collaboration at the center of your work with Microsoft Teams, where you can chat, share files, organize teams around topics, and meet virtually with everyone you work with. - Securely save your files in the cloud so you can access them from anywhere. - Achieve more with the latest intelligent features, like PowerPoint Designer or Ideas in Excel. -Stay connected no matter where you are with the Office mobile apps and Office for the web.","https://www.skillindiadigital.gov.in/courses/detail/420abcd3-4f23-4441-8af0-430d8b59ee6e",null,null,null,null,null,null,null,null,null
225,"IT-ITeS","Microsoft Digital Literacy - English","Free","10:00 hours","16+","Minimum 10th pass","NA","English","Learn how to gain digital literacy to use devices, software, and the Internet to collaborate with others and discover, use, and create information.","https://www.skillindiadigital.gov.in/courses/detail/ae9bdca1-d8cc-4685-a7a3-7ad0b0cfd383",null,null,null,null,null,null,null,null,null
226,"IT-ITeS","Manage access for Azure Virtual Desktop","Free","00:35 hours","Above 18","12th Pass, ITI, Diploma","intermediate,administrator,solution-architect,azure,azure-virtual-desktop,azure-virtual-machines","English","Manage access for Azure Virtual Desktop","https://www.skillindiadigital.gov.in/courses/detail/2044ae89-10dc-42de-83ab-cae47cf2f4ef",null,null,null,null,null,null,null,null,null
227,"IT-ITeS","Manage Azure Kubernetes Service on Azure Stack HCI","Free","01:06 hours","Above 18","12th Pass, ITI, Diploma","devops-engineer,security-engineer,azure","English","Manage Azure Kubernetes Service on Azure Stack HCI","https://www.skillindiadigital.gov.in/courses/detail/0e8e37ff-8ae1-4794-b62a-1fa5c54c1675",null,null,null,null,null,null,null,null,null
228,"IT-ITeS","Introduction to Personalizer","Free","00:40 hours","Above 18","12th Pass, ITI, Diploma","solution-architect,ai-engineer,data-scientist,azure,ai-services,azure-cloud-services","English","Discover the Azure AI Personalizer service that is part of Azure AI services.","https://www.skillindiadigital.gov.in/courses/detail/a4d50b89-2577-4b70-9430-69b3e926f00d",null,null,null,null,null,null,null,null,null
229,"IT-ITeS","Introduction to Immersive Reader","Free","00:21 hours","Above 18","12th Pass, ITI, Diploma","beginner,ai-engineer,data-scientist,developer,azure,azure-immersive-reader,ai-services","English","Immersive Reader is a tool that embeds reading, math, and text comprehension capabilities into applications. Immersive Reader is an inclusively designed tool that implements proven techniques to improve reading comprehension for new readers, language learners, and people with learning differences such as dyslexia. No knowledge of machine learning is required.","https://www.skillindiadigital.gov.in/courses/detail/e42d150f-ded1-4b72-a1f3-0b0ea451b19f",null,null,null,null,null,null,null,null,null
230,"IT-ITeS","Implement Windows Server IaaS VM Network Security","Free","01:09 hours","Above 18","12th Pass, ITI, Diploma","technology-manager,azure,azure-cloud-shell","English","Implement Windows Server IaaS VM network security","https://www.skillindiadigital.gov.in/courses/detail/1972c64d-4eb3-4071-8576-27aadc492bab",null,null,null,null,null,null,null,null,null
231,"IT-ITeS","Implement Azure Cosmos DB for NoSQL point operations","Free","00:45 hours","Above 18","12th Pass, ITI, Diploma","azure-cosmos-db","English","Write code to create, read, update, and delete items in Azure Cosmos DB for NoSQL.","https://www.skillindiadigital.gov.in/courses/detail/e612ba80-f9ea-4eed-972f-7fdbe08f47d6",null,null,null,null,null,null,null,null,null
232,"IT-ITeS","Host a web application with Azure App Service","Free","00:31 hours","Above 18","12th Pass, ITI, Diploma","solution-architect,student,azure,azure-app-service,azure-portal","English","Create a website using C#, Java, Python or Node.js and deploy it through the hosted web app platform in Azure App Service.","https://www.skillindiadigital.gov.in/courses/detail/a7a5e68d-483f-4ead-8934-a5d53937b0be",null,null,null,null,null,null,null,null,null
233,"IT-ITeS","Getting Started With The Microsoft Cloud Adoption Framework","Free","00:43 hours","Above 18","12th Pass, ITI, Diploma","developer,solution-architect,azure","English","Use the Cloud Adoption Framework getting-started guides to unblock your organization's cloud adoption efforts.","https://www.skillindiadigital.gov.in/courses/detail/66caa04b-56b3-482d-91e8-2acf5313c6b5",null,null,null,null,null,null,null,null,null
234,"IT-ITeS","Generate Images with Azure OpenAI","Free","00:38 hours","Above 18","12th Pass, ITI, Diploma","ai-engineer,developer,solution-architect,azure-open ai","English","Use DALL-E in Azure OpenAI service to generate images","https://www.skillindiadigital.gov.in/courses/detail/8e94a8e2-635d-4dc1-8400-0e5bd70cca0e",null,null,null,null,null,null,null,null,null
235,"IT-ITeS","Foundations of user experience and design thinking","Free","00:21 hours","Above 18","12th Pass, ITI, Diploma","beginner,startup-founder,consumer","English","This Microsoft Learn module provides a foundation for User Experience (UX) and design thinking. Your product ultimately exists to serve your end user, and by starting with their experience and the design that supports it, we can start with a strong foundation.","https://www.skillindiadigital.gov.in/courses/detail/ffa964d0-7854-4c38-a624-02edf6b95f7b",null,null,null,null,null,null,null,null,null
236,"IT-ITeS","First query with Kusto Query Language","Free","00:39 hours","Above 18","12th Pass, ITI, Diploma","business-analyst,azure-data-explorer,azure","English","Learn how to write simple queries in Kusto Query Language (KQL) by using the operators take, project, count, where, and sort.","https://www.skillindiadigital.gov.in/courses/detail/bc7eb47c-9274-4cc5-aabd-67c15e48b56c",null,null,null,null,null,null,null,null,null
237,"IT-ITeS","Expose hybrid services securely with Azure Relay","Free","00:44 hours","Above 18","12th Pass, ITI, Diploma","beginner,solution-architect,developer,azure,azure-service-bus","English","Securely expose services that run in your on-premises network to clients in the cloud, without having to open a port on your firewall or make intrusive changes to your corporate network infrastructure.","https://www.skillindiadigital.gov.in/courses/detail/6cf81936-f3b2-42cd-a1ca-c7440b3657be",null,null,null,null,null,null,null,null,null
238,"IT-ITeS","Explore Autonomous Intelligence","Free","00:17 hours","Above 18","12th Pass, ITI, Diploma","business-user,azure,bonsai","English","Learn Autonomous Intelligence technologies and evaluate when to use it.","https://www.skillindiadigital.gov.in/courses/detail/fd26b449-2280-4c1a-b572-88aae99b2e54",null,null,null,null,null,null,null,null,null
239,"IT-ITeS","Evaluate strategies for migrating to Azure SQL","Free","00:22 hours","Above 18","12th Pass, ITI, Diploma","database-administrator,azure,azure-sql-database","English","Evaluate strategies for migrating to Azure SQL","https://www.skillindiadigital.gov.in/courses/detail/ab07ac77-eff4-438c-ad4f-245a8c74c143",null,null,null,null,null,null,null,null,null
240,"IT-ITeS","Discover commands in PowerShell","Free","00:13 hours","Above 18","12th Pass, ITI, Diploma","beginner,developer,student,azure-powershell","English","PowerShell comes with a built-in help system. Use help to read more about a command, what the command does, and how to call it. Also, if you inspect what a command returns, you can use that information to customize the output, determine what commands are logically grouped, and determine how to use the commands together.","https://www.skillindiadigital.gov.in/courses/detail/b160fb5c-f279-4d6d-99c9-b46b8c79a157",null,null,null,null,null,null,null,null,null
241,"IT-ITeS","Teaching SC- 300: Microsoft Identity and Access Administrator","Free","01:19 hours","18+","12th Pass, ITI, Diploma","higher-ed-educator,defender-for-cloud","English","Learn tips and tricks about preparing for your first teaching session, which labs to use, when and how to introduce technical topics, as well as other resources and materials.","https://www.skillindiadigital.gov.in/courses/detail/52683396-7a42-4892-b07f-7361de4aea9e",null,null,null,null,null,null,null,null,null
242,"IT-ITeS","Structure Git Repo","Free","00:14 hours","18+","12th Pass, ITI, Diploma","administrator,developer,devops-engineer,azure-artifacts,azure-boards","English","This module examines Git repositories structure, explains the differences between mono versus multiple repos, and helps you create a changelog.","https://www.skillindiadigital.gov.in/courses/detail/80edfdd9-decd-4ea8-87cf-9d1afe67e463",null,null,null,null,null,null,null,null,null
243,"IT-ITeS","Secure Data with Azure SQL","Free","01:24 hours","18+","12th Pass, ITI, Diploma","solution-architect,database-administrator,data-engineer,azure-sql-database","English","Ensuring the security and compliance of data is always a top priority. In this module, you learn how to use Azure SQL to secure your data, configure logins and users, use tools and techniques for monitoring security, ensure that your data meets industry and regulatory compliance standards, and take advantage of the extra benefits and intelligence that Azure provides.","https://www.skillindiadigital.gov.in/courses/detail/3285218c-4320-4900-9105-6da043550444",null,null,null,null,null,null,null,null,null
244,"IT-ITeS","Safeguard Public Sector Data with Azure","Free","00:42 hours","18+","12th Pass, ITI, Diploma","business-user,entra-id,azure-key-vault","English","Conceptual introduction to data residency and sovereignty and overview of the options provided by Azure for public agencies to protect their data in the cloud.","https://www.skillindiadigital.gov.in/courses/detail/ecbcd90f-d345-4165-b560-e7ea14218389",null,null,null,null,null,null,null,null,null
245,"IT-ITeS","SAP workloads on Azure","Free","01:05 hours","18+","12th Pass, ITI, Diploma","administrator,solution-architect","English","This module explores backup and restore of Azure virtual machines and examines the steps and important considerations involved in backing up and restoring SAP workloads on Azure. Prepare for Exam AZ-120 Planning and Administering Microsoft Azure for SAP Workloads.","https://www.skillindiadigital.gov.in/courses/detail/07c1af6d-a67b-42c0-9be6-51018089017c",null,null,null,null,null,null,null,null,null
246,"IT-ITeS","Query the Azure Cosmos DB for NoSQL","Free","01:01 hours","18+","12th Pass, ITI, Diploma","developer,azure-cosmos-db","English","Author queries for Azure Cosmos DB for NoSQL using the SQL query language.","https://www.skillindiadigital.gov.in/courses/detail/77a41577-864a-46e4-9272-f992737122de",null,null,null,null,null,null,null,null,null
247,"IT-ITeS","Query Relational Data in Azure","Free","00:26 hours","18+","12th Pass, ITI, Diploma","administrator,business-user,data-engineer","English","Learn about Structured Query Language (SQL), and how you can use it to query, insert, update, and delete data in a relational database.","https://www.skillindiadigital.gov.in/courses/detail/55d82546-929e-4c4b-b849-7c7d92f8fa98",null,null,null,null,null,null,null,null,null
248,"IT-ITeS","Python Functions","Free","00:29 hours","18+","12th Pass, ITI, Diploma","developer","English","Functions are a foundational knowledge for writing modular code. Understanding inputs and outputs in functions will help you write better software that's reusable and readable.","https://www.skillindiadigital.gov.in/courses/detail/1b84d5b7-c201-4ab4-bfd6-689d028e49f8",null,null,null,null,null,null,null,null,null
249,"IT-ITeS","Pull Requests in Azure Repos","Free","00:16 hours","18+","12th Pass, ITI, Diploma","administrator,developer,devops-engineer,azure-artifacts,azure-boards","English","This module presents pull requests for collaboration and code reviews using Azure DevOps and GitHub mobile for pull request approvals. It helps understanding how pull requests works and how to configure them.","https://www.skillindiadigital.gov.in/courses/detail/c1b75b57-2056-44c7-9ebe-32e633c0a6ca",null,null,null,null,null,null,null,null,null
250,"Food Industry Capacity and Skill Initiative","Fish and Sea Food Processing Technician - Hindi","Paid, Rs.100","04:01 hours","Min 18","5th Pass, 8th Pass, 10th Pass, 12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate","NA","Hindi","This course encompasses National Occupational Standards (NOS) of 'Fish and Seafood processing' Qualification Pack approved by NCVET under National Skill Qualification Framework (NSQF). A fish and seafood processing technician course is a program designed to provide students with the knowledge and skills required to work in the fish and seafood processing industry. This course typically covers various aspects of fish and seafood processing, including handling, storage, processing techniques, quality control, and safety procedures.","https://www.skillindiadigital.gov.in/courses/detail/a265bdd8-9c74-49cb-8fce-a8ea5a35a0fc",null,null,null,null,null,null,null,null,null
251,"Food Industry Capacity and Skill Initiative","Fish and Sea Food Processing Technician","Paid, Rs.100","04:01 hours","Min 18","5th Pass, 8th Pass, 10th Pass, 12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate","NA","English","This course encompasses National Occupational Standards (NOS) of 'Fish and Seafood processing' Qualification Pack approved by NCVET under National Skill Qualification Framework (NSQF). A fish and seafood processing technician course is a program designed to provide students with the knowledge and skills required to work in the fish and seafood processing industry. This course typically covers various aspects of fish and seafood processing, including handling, storage, processing techniques, quality control, and safety procedures.","https://www.skillindiadigital.gov.in/courses/detail/836c49ef-dbbc-4109-aff4-e2609799b0fe",null,null,null,null,null,null,null,null,null
252,"IT-ITeS","Use Apache Spark in Azure Databricks","Free","01:14 hours","18+","12th Pass, ITI, Diploma","data-engineer,azure-databricks","English","Azure Databricks is built on Apache Spark and enables data engineers and analysts to run Spark jobs to transform, analyze and visualize data at scale.","https://www.skillindiadigital.gov.in/courses/detail/4b4bdeb9-ccb6-4f56-bc97-53377f8fa7fd",null,null,null,null,null,null,null,null,null
253,"Food Industry Capacity and Skill Initiative","Craft Baker","Paid, Rs.100","04:01 hours","Min 18","10th Pass, 12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate","NA","English","This course encompasses National Occupational Standards (NOS) of 'Craft Baker (FIC/Q5002) NSQF Level 4' Qualification Pack approved by NCVET under National Skill Qualification Framework (NSQF).This course provide you with a range of skills and knowledge related to the art and science of baking. You will gain an understanding of the science behind baking, including the role of different ingredients, their functions, and how they interact. This knowledge will help you troubleshoot and adjust recipes as needed.","https://www.skillindiadigital.gov.in/courses/detail/be252d85-6542-4e07-b493-ab48f2547e04",null,null,null,null,null,null,null,null,null
254,"Food Industry Capacity and Skill Initiative","Cold Storage Technician - Hindi","Paid, Rs.100","04:03 hours","Min 18","5th Pass, 8th Pass, 10th Pass, 12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate","NA","Hindi","The course includes basic understanding of cold storage systems which includes different types of refrigeration systems, insulation materials, and temperature control methods. The course will equip students with practical skills to install, troubleshoot, and maintain various cold storage equipment and systems.","https://www.skillindiadigital.gov.in/courses/detail/e8ba58b8-79de-43ab-abb3-13ba96632e4a",null,null,null,null,null,null,null,null,null
255,"Healthcare","Vision Technician","Free","04:43 hours","Any","Any","NA","English","Eye care assistants are specialized medical assistants who work in optometrist offices, eyecare clinics, and other healthcare facilities that offer vision care services. They are a vital part of the eye doctor's team, helping the office or facility to run smoothly by performing administrative and clinical tasks. Optometrists prefer assistants who have completed a medical assistant certificate or associate's degree program and who have experience in either the vision care or medical care field.","https://www.skillindiadigital.gov.in/courses/detail/63ad31bb-41f3-48f1-98ac-f9eeec92e3c7",null,null,null,null,null,null,null,null,null
256,"IT-ITeS","Guided Project - Configure secure access to workloads with Azure virtual networking services","Free","01:39 hours","18+","12th Pass, ITI, Diploma","administrator,network-engineer,azure-dns,azure-firewall,azure-virtual-network","English","Guided Project - Configure secure access to workloads with Azure virtual networking services","https://www.skillindiadigital.gov.in/courses/detail/90792bcd-4f8b-4e94-9524-ce560d58fcf9",null,null,null,null,null,null,null,null,null
257,"Food Industry Capacity and Skill Initiative","Plant Base Proteins-English","Paid, Rs.200","00:33 hours","Min 18","12th Pass OR ITI OR Diploma OR Graduate OR B. Voc OR Postgraduate","NA","English","This course encompasses National Occupational Standards (NOS) of 'Food Technologist - Plant based proteins' Qualification Pack approved by NCVET under National Skill Qualification Framework (NSQF).Vegetarians must be concerned whether their vegan diet contains enough protein. However, thanks to the growing industry of Plant-Based Protein, which is a good way to obtain protein from plant sources, you no longer need to worry. After completing the course the learner gets the knowledge of Plant-Based Protein Sources. Students will develop a comprehensive understanding of different plant-based protein sources, such as legumes (e.g., beans, lentils), whole grains, nuts, seeds, soy products, and various vegetables. They should be able to identify and differentiate between different types of plant proteins and understand their nutritional profiles.The course will emphasize the importance of food safety and hygiene practices specific to plant base proteins industry.","https://www.skillindiadigital.gov.in/courses/detail/72a5806e-db84-4d9f-a365-e4ea7f13263b",null,null,null,null,null,null,null,null,null
258,"Furniture and Fittings","Carpenter Wooden Furniture - Hindi","Free","7:10 hours","Any","Any","NA","Hindi","Carpenter Wooden Furniture course gives an overview of client coordination, team supervision, and quality check of the project. Ensure proper material management and preparation of the worksite. It sets out, marks and fabricate the various components of the products at the worksite.","https://www.skillindiadigital.gov.in/courses/detail/208b6a5b-9e5b-4ad4-9c60-64ec3d1570f3",null,null,null,null,null,null,null,null,null
259,"Furniture and Fittings","Carpenter Wooden Furniture","Free","07:10 hours","Any","Any","NA","English","Carpenter Wooden Furniture course gives an overview of client coordination, team supervision, and quality check of the project. Ensure proper material management and preparation of the worksite. It sets out, marks and fabricate the various components of the products at the worksite.","https://www.skillindiadigital.gov.in/courses/detail/7443462f-f779-4ef4-8124-823b51d92fbc",null,null,null,null,null,null,null,null,null
260,"Telecom","Advance Fiber Optics","Paid, Rs.199","04:00 hours","18+","9th grade pass","NA","English","The individual in this job ensures efficient splicing of the optical fiber cables and test effectiveness and record the test results.","https://www.skillindiadigital.gov.in/courses/detail/f7da20ea-6797-4809-8c7f-6c2d9bc7a713",null,null,null,null,null,null,null,null,null
261,"Telecom","Introduction to IoT- Hindi","Free","00:02 hours","18+","11th grade pass","NA","Hindi","Introduction to IoT: Gain an understanding of the foundational concepts and the transformative impact of IoT on various industries.,Microprocessor & Microcontroller: Discover the essential components that drive IoT devices, enabling smart decision-making.,Raspberry Pi: Unlock the potential of the Raspberry Pi, a versatile single-board computer, for IoT projects.,Arduino: Explore the open-source Arduino platform and learn how to create IoT applications using Arduino boards.,Actuators: Learn about actuators, devices that convert digital information into physical actions, allowing IoT systems to interact with the physical world.,Sensors: Delve into sensors, the sensory organs of IoT, and understand their various types and applications in monitoring and data collection.","https://www.skillindiadigital.gov.in/courses/detail/c871272d-6016-4f1c-ab0b-1e319a185060",null,null,null,null,null,null,null,null,null
262,"Tourism and Hospitality","Trainee Chef - Hindi","Free","8:05 hours","Any","Any","NA","Hindi","This course aims at building the following key competencies in learners : State their roles and responsibilities Prepare Western and Indian Mother Sauces Identify the various Kitchen Equipment and ingredients Prepare omelette, fried eggs, scrambled eggs, boiled eggs, poached eggs, sandwiches, Soups, Kitchen Stocks and Pasta and its Sauces. Cut vegetables into various shapes Cook using the dry, medium of fat and liquid methods Setup live pasta, dosa and egg counters State the occupational hazards and adopt relevant safety measures Prepare a 5-course menu","https://www.skillindiadigital.gov.in/courses/detail/029f3823-7bb7-4a8b-ac12-1a12f3356e97",null,null,null,null,null,null,null,null,null
263,"IT-ITeS","Microsoft Digital Literacy - Hindi","Free","10:00 hours","16+","Minimum 10th pass","NA","Hindi","Learn how to gain digital literacy to use devices, software, and the Internet to collaborate with others and discover, use, and create information.","https://www.skillindiadigital.gov.in/courses/detail/870bb14b-f8b7-4227-bd9e-fdc8748949e6",null,null,null,null,null,null,null,null,null
264,"Tourism and Hospitality","F & B Steward - Hindi","Free","02:38 hours","Any","Any","NA","Hindi","This course elaborates how to become a steward, qualities of a steward, table laying techniques, napkin folding techniques & how to serve food.","https://www.skillindiadigital.gov.in/courses/detail/6d932f0e-de75-4ca8-91a6-1d86ac5162c6",null,null,null,null,null,null,null,null,null
265,"Leather","Stitcher - Footwear","Free","05:30 hours","Any","Any","NA","English","The individual, as a part of the job role, lays out, marks,  and cuts leather or non-leather material into parts for articles using cutting dies. The critical component of the role is to position leather/non-leather for cutting to ensure good number and quality of cut pieces.","https://www.skillindiadigital.gov.in/courses/detail/31cd8904-e179-4ff7-98d2-c515d4942866",null,null,null,null,null,null,null,null,null
