S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Economics,Econ 2450A Public Economics | Raj Chetty,143hrs 7min,12th,English/Hindi,Module 1: Introduction and Tax Incidence,Topic 1: Introduction | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=wjuKvgQv51Y
2,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 1: Introduction and Tax Incidence,Topic 2: Tax Incidence Part 1 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=KpoimMcLyvE
3,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 1: Introduction and Tax Incidence,Topic 2: Tax Incidence Part 2 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=IIoyGQbE_ME
4,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 1: Introduction and Tax Incidence,Topic 2: Tax Incidence Part 3 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=caOBKTniLrU
5,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 2: Efficiency Cost & Optimal Taxation,Topic 3: Efficiency Cost of Taxation Part 1 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=Wge5DB9XZF4
6,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 2: Efficiency Cost & Optimal Taxation,Topic 3: Efficiency Cost of Taxation Part 2 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=IeBfGkDd5lo
7,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 2: Efficiency Cost & Optimal Taxation,Topic 3: Efficiency Cost of Taxation Part 3 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=jYjfsnVzEJI
8,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 2: Efficiency Cost & Optimal Taxation,Topic 4: Optimal Taxation Part 1 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=IPlCtuB3B68
9,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 3: Income Taxation & Labor Supply,Topic 4: Optimal Taxation Part 2 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=30iPMSs8K4c
10,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 3: Income Taxation & Labor Supply,Topic 4: Optimal Taxation Part 3 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=fwvQElcho_g
11,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 3: Income Taxation & Labor Supply,Topic 5: Income Taxation and Labor Supply part 1 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=GDlWo7N5SwY
12,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 3: Income Taxation & Labor Supply,Topic 5: Income Taxation and Labor Supply part 2 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=QmC6llOGgVg
13,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 3: Income Taxation & Labor Supply,Topic 5: Income Taxation and Labor Supply part 3 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=Mx0ZyYGqtjM
14,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 4: Social Insurance,Topic 5: Income Taxation and Labor Supply part 4 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=PvwNLIN_1HA
15,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 4: Social Insurance,Topic 5: Income Taxation and Labor Supply part 5 | Economics 2450A: Public Economics,https://www.youtube.com/watch?v=UtAtta94RQQ
16,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 4: Social Insurance,Topic 6: Social Insurance Part 1 | Econ2450A: Public Economics,https://www.youtube.com/watch?v=DEVvVxrVyB4
17,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 4: Social Insurance,Topic 6: Social Insurance Part 2 | Econ2450A: Public Economics,https://www.youtube.com/watch?v=vIf5hStAQus
18,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 4: Social Insurance,Topic 6: Social Insurance Part 3 | Econ2450A: Public Economics,https://www.youtube.com/watch?v=IqH7ssKI97Y
19,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,Module 4: Social Insurance,Topic 6: Social Insurance Part 4 (Guest Lecture) | Econ2450A: Public Economics,https://www.youtube.com/watch?v=I8WRNVTnIJA
20,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,"Module 5: Public Goods, Externalities, & Corporate Taxation",Topic 6: Social Insurance Part 5 | Econ2450A: Public Economics,https://www.youtube.com/watch?v=0dQNMKjSQIg
21,Economics,Econ 2450A Public Economics | Raj Chetty,,12th,English/Hindi,"Module 5: Public Goods, Externalities, & Corporate Taxation",Topic 6: Social Insurance Part 6 | Econ2450A: Public Economics,https://www.youtube.com/watch?v=xckXMlOnMwg
