S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Journalism,Social Media Training - हिंदी,3hrs 9min,12th,English/Hindi,Module 1: Introduction to Social Media,FREE Social Media Coaching Series - Trailer | Ranveer Allahbadia,https://www.youtube.com/watch?v=FIy_nDhvj1o
2,Journalism,Social Media Training - हिंदी,,12th,English/Hindi,Module 1: Introduction to Social Media,Social Media Marketing - Social Media Coaching Ep.1 | Ranveer Allahbadia,https://www.youtube.com/watch?v=NpK8f89QfVg
3,Journalism,Social Media Training - हिंदी,,12th,English/Hindi,Module 1: Introduction to Social Media,YouTube - Social Media Coaching Ep.2 | Ranveer Allahbadia,https://www.youtube.com/watch?v=BAOOaAxQiF8
4,Journalism,Social Media Training - हिंदी,,12th,English/Hindi,Module 1: Introduction to Social Media,Instagram - Social Media Coaching Ep.3 | Ranveer Allahbadia,https://www.youtube.com/watch?v=VWrsS9-Vt6Q
5,Journalism,Social Media Training - हिंदी,,12th,English/Hindi,Module 2: Content Creation,Video Creation For Beginners - Social Media Coaching Ep.4 | Ranveer Allahbadia,https://www.youtube.com/watch?v=7kzEAvjV3w8
6,Journalism,Social Media Training - हिंदी,,12th,English/Hindi,Module 2: Content Creation,Twitter - Social Media Coaching Ep.5 | Ranveer Allahbadia,https://www.youtube.com/watch?v=qpUdrLRxuVo
7,Journalism,Social Media Training - हिंदी,,12th,English/Hindi,Module 2: Content Creation,LinkedIn - Social Media Coaching Ep.6 | Ranveer Allahbadia,https://www.youtube.com/watch?v=NDUkpC-bG_U
8,Journalism,Social Media Training - हिंदी,,12th,English/Hindi,Module 3: Platform Specific Strategies,Digital Marketing - Social Media Coaching Ep.7 | Ranveer Allahbadia,https://www.youtube.com/watch?v=3vFntfhUbbA
